person,sequence_id,group,sequence
pierreG,38,bachelor,hhhhhxthxhtthhhthtthhhthhhhhhthhhtxtxhhtthhhttxhtxhxththhhhhhhthtthhhhhthhthhthhhthhxhhttthhhhtthxhthtthtttth 
amirS,112,bachelor,hhhthtthhthhhtttxhxthtxhthxhxthhxththhhthtxthttththxhhhhthhthtththtthttttthhthxththhhththtthhxtthhthtthhhthh
davidV,14,bachelor,ttththhthhhhhthtttxthhhhhthtththhtxthhxththhhhthtthxthxhttxthththhttttttxtxtthxhtxttxhtxthhxxhtthttxhtttttth
kaleemU,104,bachelor,tthhhtttthhthhhththhhhhhthxhththtthhhththhtthhthhhhhhtththhthhhhhtttxhhhhhhtthhhhthhthttxhxhthtttxhhhtthh
davidKL,58,bachelor,httthhhhthtthtttthhhhthhhhhhhthttxhhxhhtttttttxtthhhxthtxthhttxthhhthhhttthxtththhttthhhttthhtththtxhxhtththtxhhh
ingeborgR,45,marathon,hxthhttthhhhhtttttttththhtthhxtthhhthhhhthhhtttttttththhhtttttthhhtttthhhhhhhhhhttthtuutthhhhhththththhh
madlenH,22,marathon,httthhthhttttttttttthxhththhthhhxhthhhhhhhthhhhhhttthhxthxtthtttththhthhhhhhtthhtththhhthhhhhhxhhhthtthhhh
henrikG,51,marathon,hthhtthhhttthttthththhhthhttthhhttthhhtththhttthhthhttttthhtthttththththttttthhhtthtthhhhttxthhttttth
adamF,12,marathon,htttxhthxththtthhththtthtthtthhthhthhhthuhuhhtttuutxxthhhhhttthttththxttxhhhttttthuuuuuuhuuxtxttttththtt
jillR,36,marathon,htttthhttthtttththththtxththhtthhhhththhuthhhthttttthhhhttththttxthtththhthhxhhtttthxhxhthhththhhhttthhth
