person,sequence_id,group,sequence
pierreG,138,bachelor,tttthhtthhthhhthtthttthhthtthtththhhthtttththththhhhhthhhthtthhhhthhhtthhhthhthtttthhhhtthhthttttttt
amirS,61,bachelor,hthhthhhthhthhthhttthhttttthththtthhhtthtthththhhhhhhttttthhthtthttttttttthththhtttttttthhtththtthht
davidV,42,bachelor,thtththhhhhhthhhtttththhtthhtthhhtttththhthttthtthttththhthhtthtththttthhthtttthtthhthtththththththt
kaleemU,21,bachelor,hhthtthhhhthhttthhtthhthhttthhtthtttttthhhhhttththttthhhhhthtthtthttthtthhthhhtttthhhhhtttthhthththt
davidKL,53,bachelor,thththhththhtttthhhhthtttthhhhththththhhhtthhhhtthtthttthtththththtththtthththththhhhhttthhhttthhtt
ingeborgR,55,marathon,hthhhththhtthhhtththththtthhthttttttthththtttthtththththtttthhhhtththhththhhhhthtttthhhttttthhtttthh
madlenH,3,marathon,thhhhhthttthttttttthttttthhhhhtthhhhhhhtttthhththhhhtttthtthtthhhhttttthhhttththhthhtthtthttttthhhhh
henrikG,35,marathon,tttththhtttththttthtthththththhhtttthhhhththhthhthhttthhhhhhththtthttttttttththhthhhthhtthhtth
adamF,36,marathon,thhthtttththhhhthhhtthhhtththhhhhttththtthhhhhhthhtthhhthhthhthhhhtttttththhthtththhtthhhtththhth
jillR,55,marathon,hthhhthhtthhhhtthhthhhtthhhhtttttthhhhtttttthtthhhhthhhtthhhhththhtthtthtthttttthtttthtththhtthhtth
