person,sequence_id,group,sequence
pierreG,8,bachelor,hthtthuhttththhttthhtttttthttuhhtththttuhthttthhththtthththtttuthhtthhttuhuttthhhhhhhhthtthtuhhhhhutthhttthuh
amirS,28,bachelor,Ttthuhhttuhtuthuttuttututtthtthuhhthhhhthhhhthhutthttuttthtthhthhhhtutttthhthhuuhhhtthttutthttuthhhtutttttttuthttuht
davidV,52,bachelor,Hthhtththtttthhttththtththhthtttuhhthtththhthtuhththhhthththttthhthhththhhttttththhhhhttttththhhthtttttt
kaleemU,25,bachelor,Huuhtthhhhthhhtttuhhththhhthttttututthhttttututhtthhtuuthhuuththhhhttuhhutththhthhttttthtuttthhhhuththuthhtttttthhtttuhuhth
davidKL,147,bachelor,Thuhthuhhhtttthtttttthttththhtthhhtthtthtthhttthththttthtthttthhtthhthhttthttthhhthtththhhhhhtthhhthtt
frantisekB,51,marathon,Uthhtthhhhhhthththhhthttthhthththhuhhhhhhththhhthhthhhtttttththttthhhhhthhttttthtthtththhhtuthttthhtth
alexandraS,23,marathon,hhhthtttthtttthhthhthhhhttththtthtthhthtthththhhhhhthttttthtthhthhthhhhhhhhtthhhhuthhtthhhttttthhhtttutttht
madlenH,1,marathon,Uuhtuthhhhhhhthhutththhttuthhhtttttttthtttthhtttuttthhhttttuuuhttuthtttuttthhhhttthhtuthththhttuththhhtthuhutthhttttthuhhhthhttu
henrikG,29,marathon,Httthtththhhhththhhtththhhttthttththhthtthtthhtttththtthhhthtttttttthhhhhtttttthhthtthhhhthtttth
jillR,3,marathon,Hhthttthhhhhtuhhhhhtttutthtthhhhhuthththttttthththhttttttuthhthuuhuttttththuuuhhhhutthttttuhtuthuhth
