person,sequence_id,group,sequence
pierreG,141,bachelor,xxxoxxoooxxxoxoooxxoxoooooxooxxoxoooxxoxoxoxoxoxofxoooooxooxoooooooxoooooxoooxxooxxxfxoxoxooxoxoooxxxo
amirS,104,bachelor,xfxxoxoxoxxoxxffooooxxoofxooooxxxxoooooxoxxoxofoffofxxxxoofxoxxxxoooofxxxxoxxxoooxooxoxoooffoxfofxxoxxxoxooxxxox
davidV,65,bachelor,oooxoxxxoxooxooxxxxooxoooxxoxxxxxoooooxxxooxoxoxxxxooxoxxxxxoxxoxooxxxxxoxxooooxoxxxxoxxoooxxxooxoo
kaleemU,20,bachelor,oxoooxooooooxoxooxooxoooxxxooxxoxoofoxxfoxoxxooxoxoxxoxoxoooooxxxxxxoooxxxxxoxxxfooxxxoxooxooxxxoxxoxoo
davidKL,27,bachelor,xfxoxoxxoxoofooxxooxxxooxooxooxxfooxooooxxoxfxxooofxoooooooxxfoxoxoooooxxxfoxoooxxoxxfxxoooxxxxxoxooooxxxoxx
frantisekB,23,marathon,xxooxoxoxxfooxxoxxxooxxoxxxxoxoooxfofoxxxxoofxoxxooxoxxoxxxooxxofxooxoxxoxxxxxxxoxfoxxooxxxoxoxxxxooxoxoxooo
ingeborgR,47,marathon,xxfoooxoxxoxxxuooxxxxxxoooooofoooxxoooxfxooxxoxfofxoxoxooxxxooxoxxxxoxooxxxxxxoooxfxooxooxoxoxxoxxooxxoxooox
madlenH,62,marathon,xoxxxxoooooooxoxooxoxxxxoxoofoxxooxxooooooxxxoooxxoxxxxfxooxfooooxoxoxoooooxofoxxxooooofooxxxoxoxoxxooxoxoxxxxxxffx
henrikG,32,marathon,xoxxoooooooxxoxxxxoxxxxoxoooooxxxoxoxxooxoxoxoxoxoooxooxxxxxoxxxfooxoxxxoxoxxoooxxoxxxxooxxuoxxooxoxoxxoo
jillR,7,marathon,ooxxxxxooxoxfxoxooofoxoxxoxoxxxxffxxoxxxxxfxxxoooxxxooxxoooooxooooxoxoxxoxxxooxooxoxxooooooxffxooxxxxfo
