person,sequence_id,group,sequence
pierreG,146,bachelor,hhthhttthhththhuthtthththhhththhthuttthhtttththhttthtthhhtthttthuttthhuhhthtthhhhhhhhttthtttththhththhtt 
amirS,8,bachelor,uhuttuthhyhttthhthhthhtuututthttuhhtttuuutththhuttttuuthhhtttthtuhutttthuuthtthuhhhhuthuhhtttthhttthtutuhttuhutuhhttthttthtthhhuht
davidV,83,bachelor,ttttttthtthhthhthhhhhththhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth
kaleemU,81,bachelor,uhhhhhhtthtthuhhhtttthhhthhthhhhhhththhtuttththhhhhthtthhttttutuhtthhtthttththhththhthttththtttthhhthhttttttt
davidKL,46,bachelor,htthttthhhhhhhhhtttthttttttttttttththhhhtthtthttthhhtthhhhtttththhttthtthtttttttthtthhttttthtthttt
frantisekB,18,marathon,tththttttthhttttththhththutthhtthtthttttuuuutththtthtthhttuhthhtuuuththtttthhtttththtththtthhththtt
ingeborgR,12,marathon,tttthhhththttthhthttthhhhhhhhththhhhhhtththhtttttthhhhhttuttttthtttthttttttthtthtthtthtthhhhtthtthh
madlenH,50,marathon,thhttttuhhtuhhthththhthhtthhhtthtuhthhthuthuhhtttututtthhttuththtthhtttthuuththhhtthhhhthtththhthuhhhhhhhhthtt
henrikG,6,marathon,tththtthtthhtthhthhhhhtthhhttthhttthhhhhhhhhtthhhtthhtthttthhhhthhhhhhththhhhthhtthththhtthhhhhhtthhtht
jillR,61,marathon,hthhhttthhhthhthththtthtthhhhththththhhhthhthtththhthhtththuthhhhhththhthhtttthhhthhhtththhththtt
