person,sequence_id,group,sequence
pierreG,48,bachelor,ttttxthhthhthhxhhhtxththttthxthhhhhtthhhtxhxhhthhhhhtttthhhhhhtthtthhhththhththtxttthththtththhhhhxttthttxhhh
amirS,70,bachelor,htttxttthtxththtttthtthtxtttttxhxhxhttthhthtthhhhhhhhhtthththttthhhththhxtttthxthtththtxhhhthxhhxtttttxtxhhxtxhtthh
davidV,30,bachelor,thhhththhhthtthtttthhttthtthhhhhtththhhhhhhhtththhhtttththhhththhthhhhhthhhththhttthhtxhthhththththhtxt
kaleemU,11,bachelor,hhtthtttththhtththhtxtthhththththhthhhtttxthttttthttttxthhhttthhhhthtxtthhhththxxhthhthtththhhhthththhhhtth
davidKL,24,bachelor,Xtxttttttthhhxhhhththtttxtthttxxhthtthhttthhtthhxthttthhthtxhtttthhthtthhhhhhthhhttttxtththxhthhhxhxtxtxtthhththt
frantisekB,55,marathon,tththhhxthhththhhhxhxhhhhththttthhtthttthhhhhhtttttttxtthttxhhthhhtthttttthhtthhtthhthttxhhhhtxthhhthhth
ingeborgR,62,marathon,thhtthhhtthhhhhhththtthtttththhtthhtttthhhththtttttxhtthttthhttthhtttttthhtththtthththtththhhhhtthht
alexandraS,71,marathon,htththhhthhthhthhhhtththxththththhthththhhthhthtththttthhthththtttttthtththhhhthhtttthhtthhhhhthhtthhtthhh
henrikG,58,marathon,hthhhhtthhhthtththththtttttxhhhhhhththtxttxtthtthttthttxtttxhhththhthhtthtthtthxtxhhhtthhththtttthhhtthhhhttt
jonasP,6,marathon,Hhtuthhthttthhhttthhhtuhutthhthhtthhuuuuuuthhuthhututhhuthuuuttuhuuuhhhhuuhuhhhhhuuhuuhhtthuuthuhuutuh
