"person","sequence_id","coin","start","sequence"
"davidKL",1,"1SGD","t","hhhhtthtttthttthhththhhthttthhthttthttttthhhthttthttttttttthhttthhhhhhhthhhtthhthttttthhththtthttht"
"davidKL",2,"1SGD","t","tthhthhhhtttthhhthhhhtttthhthhhhthhtthhhhhhthhhtttththhhhhhhhthhttttthtthhhhhhhthhthtthtthhhtttttth"
"davidKL",3,"1SGD","t","ththhttttthtthhtthhthhtttthhhhttthtttthttthhhhhhhhhhhththhhthhhhhhthhhhtthtthtttthtthhhhhhtthhhtttt"
"davidKL",4,"1SGD","t","tthtthhtththhhhhhhhhhththhttthhhhthhtttthtthhttthhhhhthhthhtttththttthththhhhhhhhhhthhhhtttththttth"
"davidKL",5,"1SGD","t","ttthhhhhhhhhthhtttthhthttthttthhttttthhttthtttthhhhhttthtthhtththhttttthhththttttttthtthhhtttttthtt"
"davidKL",6,"1SGD","t","hhthhttthhthhhhttthhthhthhhhtthhtthhttthhttttthhhtttttthhhtttthhtthhthhtththhththttthhhthhhhhhhhhhh"
"davidKL",7,"1SGD","t","tthhthhhthtttththhttthtthhthhhhhhhhhttthhthhtttthtttthtttttththhthtthhttttttththttthhththhhhhthhttt"
"davidKL",8,"1SGD","t","thhhtttthhthhtthtthhttthtthhhttttthttthhthtthhttthhhttthttthhhhhhhhhthhhhtthttththhtthhhhtthhhhttht"
"davidKL",9,"1SGD","t","thhhhhhtttthhtttthhttttththhhhhttttthhtththtttttttttththhtthhthhhhthhhhttttthhhhthhthtttthhthhhttht"
"davidKL",10,"1SGD","t","tttthtthhthtttttthtthtththhhtttthtthhhttththhhhtttthhthhthhhhthhthhhthhhttttthhhthttthtttthhhttttht"
"davidKL",11,"1SGD","h","htthhhhttthththhhhhhhtthhhtthhthththhtthhtthhthtthhthhthhhththtthtththhhhththhhhhhthhtthhththhtthhh"
"davidKL",12,"1SGD","h","hhhtthttttttthhthhhhtthttthhththhhtthttttthhtthhththttthhtttthhhtthtttthtthttthhtthhhhttthhtthhhhhh"
"davidKL",13,"1SGD","h","tthhhhhtthhhhhthhhhhtthtthtttthhhhhhthhttthhthhhhhhttththhthhththhhtthhtthhtttttthhhhhhhthtthhtthth"
"davidKL",14,"1SGD","h","httththhthhhthhthhthhhtthhtthttthtthtthhhtttttthhhhhtttthhttthtttthttttththttthhhttthhhtthtthhhtttt"
"davidKL",15,"1SGD","h","hhttthtthhhhhththhhthhhhtthhhthhhhtthttthttthhhhhhthhhhhhhthhthhhhtttttttthhthhtthhthtththtttttttth"
"davidKL",16,"1SGD","h","ththtththhhhhttttttththttththttthhhhthhhtthtttttthhhhttttthhhhhthhhhhhhtttthtthhhthhhththhhtthhthtt"
"davidKL",17,"1SGD","h","thttththhhhhhhtthhthhhhhhhhthttthttththhthhtthtttthhthhhhhthhhtthhhhhttthtttthtthtttthhhhthhtthttth"
"davidKL",18,"1SGD","h","hhthhhthththththttttthhhthttttththtttttthhhttttthtttthhtththhhttttththhhhthhttthhthhhhthttthtttttht"
"davidKL",19,"1SGD","h","tthhththhthhhthhttthhhhththhtththhthhttttttththhhhhhhthhthhtttththhthtthhthtthttththhhttthhthtttthh"
"davidKL",20,"1SGD","h","tttthhhthhtthhttttthhtttttththhtththhhththhhtttttthhhththtthhttttthtththhhhthhthhhhhhhthttttththtth"
"davidKL",21,"1SGD","t","hhhhhthtttthhhhthhhhthhhtttthhhtththhttthttthtthhthtthhhthttthhthttttttttthhhthtthhhhtttthttttthttt"
"davidKL",22,"1SGD","t","httttthhhhhhhttthhtthhhttttttthhththttttttthhthhhttthhthhhhhtthhthttthhhtthhhthhtththttthttthhhthtt"
"davidKL",23,"1SGD","t","tthhhhthttthhhttththtthttttthhtttttthhtttttthtthhththttttthtthtthhhhhtthhhhhttththtttttthhttttthhhh"
"davidKL",24,"1SGD","t","tttttttthhhhhhththttttthtththtthhttthhtthhthttthhththtttthhthtthhhhhhthhhtttttththhthhhhtttthhththt"
"davidKL",25,"1SGD","t","hthhthhtthhththhthtthhthhhthhhthhthtthhhhhhthhttthhhhthhhhhtttttttttttttttthhhhhhtthhhhhtthhttthhtt"
"davidKL",26,"1SGD","t","hhhhtttthtthhtthhhtththhhhtthhhthtthtttthhhhhhttthhttttttttththtthtthhhttthhhtthttthtttttttttttthht"
