person,sequence_id,coin,start,sequence
kaleemU,1,2 euro,t,thhhhthhhthhhthhhththhhhhtthhhhtthhtthtthtxhhhthtthhhthhhthhhhtththhhhhxhthtthxhtttyxtttthythhxttthttttxtttth
kaleemU,2,1 euro,h,htthtthhtyththhhththhthtthhhthhhthxththhhhhthtththttthhththhhtthhhtththhttthhtxhhhhhttttthhththtyhhhhtht
kaleemU,3,1 euro,h,ththtthhthhththttththxhxtthhyhhhhhhhhxtthtthththththhthhtthhhhhtxthhttththtttthhthttthxhththtththhtttythttt
kaleemU,4,1 euro,h,hthhthhthhthhtttthtthhhhthhthxttttthhtttyttttthhhtttttththhhthhtththhtxthhhththhhhttttthhttttttththhtth
kaleemU,5,1 euro,t,txhhhtththththttttththhhtxhttttthhthtttthhhttxthhthhhthtttthtttthhtthhthhhththtxttyhthhhthhhtthttthtththt
kaleemU,6,1 euro,t,ttththttthththththhhtthttthhhhththhtttttthhththtthhthhhthhhhhhthttxthhthhtthhhtthhhhhhttthththtthhhtt
kaleemU,7,1 euro,t,ttttthyhhhtttthhhhhhthhththththhtttxttttthtthhttyhhhhhthtththhxtxhhtthtxhyttttttthhhhhthththyhththththhtttht
kaleemU,8,1 euro,t,tthhttthththttttttthtthhhhhttttththtytththttthhththhtttthtthhhhttthhhhtthhththhhtththhhhhtxttttttthhth
kaleemU,9,1 euro,t,htttthtttthhxhthhhhthytthttthhthhhhxttthhhhththtthtthththtthtttxthhtthttxhthhthhttthhhhttthtthhhthtxthttthh
kaleemU,10,1 euro,t,hthhttthhhthhtthhtththtthytthtthhhhtttthhttttytthhththhthhhhhhthtththttthtttththttttthtthhtthtththhtth
kaleemU,11,2 euro,t,tthhthhhhthtthhthtthyhhtththththtthttthhhththhhhhthhhhyhttthhhtttththyhhttththtthtththhhhtttthththtttthh
kaleemU,12,2 euro,t,hthththtttthtttthtthhhtththtthhhhthtthhhtttthhhhhhhhhhtthhtxhxthttthhhttthhhhthhthttttttxthhttthhhhthtxh
kaleemU,13,2 euro,h,tttttthtthtthththhttttthhhhhhtthhtttthhtthttttthththhththtthhththththxhttthhhhhhhhhtththhhhhhtthhhhtt
kaleemU,14,50 cents,t,hthhhhhhhtthxttttthhthttththtthhthhhhtyththhhhhthththtttthtthtttthhhhthhththhhhhttthhhxhhhhttyhtxthhthhht
kaleemU,15,50 cents,h,hhtttthhtttththhthhthhhtttththttthtthhhthhhhththhxhttthttxhhtththttththhthththhtttttttthttxhthththhhtht
kaleemU,16,50 cents,h,hhtxthtthhttthtythhththhthhhthhthhthttthtthhhttthhthhththhttththtthhhhhhthhhhtttthhthhhhhthttttthhthhh
kaleemU,17,1 euro,t,hththththhhhththxththttthtythtythtththttxtttthhtyhhhttththththtttttthhhtthhhhhthtytthhthtthhytttthtthhththt
kaleemU,18,1 euro,h,hhthhhthhhhhhthttttthhhthttthhxhttttthttttttthhththhhhthtthhhhhttttththhtthhttttxhhtththhththhxttttxhhhh
kaleemU,19,1 euro,h,htthhhhhthhththttythtthtthhhthttttthhtthhtthhhhttttttthtththhttthhtthhtthhtthhtttththttththhhxttttthtt
kaleemU,20,1 euro,t,hthhhthhhhhhththhthhthhhttthhtththhyhttyhthtthhththtthththhhhhtttttthhhttttthttthhttththhthhttthtththh
kaleemU,21,1 euro,h,hhthtthhhhthhttthhtthhthhttthhtthtttttthhhhhttththttthhhhyhthtthytthttthtthxhthhhxtttthhhhhtttthhthththt
kaleemU,22,1 euro,h,hhhhhhtttthttthththththhtththttththhhhhthttthtththhthhthxhhhhthhhthhtthhttthhhhttyhhhhtttthttthttththh
kaleemU,23,1 euro,h,hhhhtthhhthththtthttxthhtthhttttthttththhttthhhhhhththhhhhhtthtttthhthtttttthtthtthhthhttththtyhhhthth
kaleemU,24,1 euro,t,hhhthttththhthtytyttththtthhhxhxhthttyhhhhyhhxthhhtxthhthhhthttthtxytthhthhhttttththhtthhtxttttttthhtttthhhhhyhh
irmaT,25,1 euro,h,hyxhthhhhthhhtthhththhhtxxhhttttxtxtthhttttytyththxtxtxthhyyththhttyhhytththhyhhtttthtyttthhhhyththxhhhttytthhtttxhxhthxhtyyt
irmaT,26,1 euro,t,thhhtthhthtththhhhtyhhttththhthtyththhttthhhhttthttythhtthhhttxhthytyhttthtthhhhhyhhhhttthyyxxhttthhhhhthhhxthhh
irmaT,27,1 euro,h,thhhthhthhttyhthhhthttthtytxttthhhxhhxhyhhhhhhtyhyhytthyhxhtthhttththhhtxhththtthhhhhxhttttthhthttttthttthhhhtyhht
irmaT,28,1 euro,h,hhhththhttthhththhhttyhthttythhhttyhhtthhhhhthtththhtthhhtthttttththhxhhthtxthtxthtxthyttttthxtthttthtyhhtthth
irmaT,29,1 euro,t,hhhtttythhttttthhttththththtxhhthttyththxhhttttthhhtththtxhhhxththxhtthhtxthhtyhhxhhhtthhxhyhhhhytthhxhthhthhththht
irmaT,30,1 euro,h,hhhythhytttxttyhhhththhththhtttxtyttxhtttyhxthtxhhxhhtthhtthhtthhththhhhththyttthhtytttttytyhhhthhyttthhyhtyhhhhttthtt
irmaT,31,1 euro,h,hthyhtxthhxxtththhhhhthhxhhhhtthtxtyththxttxhthttyhthhtthxtthtthtyhttthhtthhhtthtttthththhtththhtthtthtyyhytthtthhh
kaleemU,32,1 euro,t,hhtttyythtxhtthxxhhthyxtyxhthttxttttxthtthhxhthxxhhhtyhthhhxththtthttththtthxhhhthhxxttxhhtyhyhthhthtxhtttxttttttyytthythyxhyththyhxyh
kaleemU,33,20 cents,t,thxhxhhttthhthhhthtttthythhthhhhhhhthhttthtttththhthtyhhhthtthhhhthtththtthhhthhthtttththtthyhthhttttttht
kaleemU,34,20 cents,h,htthtthhthhtthhhtttthhthhhhtttthttttthhhhxythttthhhthththhthhhhtttthhhhththhhhhhtttththtyttthtthttthyhhhh
kaleemU,35,20 cents,t,xthhhhhtttttthththhttthttthtththhtthhhhhhhhtthtthhhthhhtthhttxtthhtthtthttthhhhthtthttthhhthtthththhtt
kaleemU,36,20 cents,t,tthhtththtthththththhytthhtttttthhthttttthhhthhhttthhththhththhhhthhtthhththhhhttththhhxhttthtthtthxhth
kaleemU,37,20 cents,t,htttthhthhhththhhhtttththttthtthtthttthtththhttythhtthttthtthhhtthtthhtttthhtthhthhthxhhhthhhththhthth
kaleemU,38,20 cents,t,hhxhtxhhththhthhtthhhhhhhthtttthhhhhhhttthhtthhhxhtthhthhhthhhthhthtttthyhhthhhhttythttthttttthhthyhththth
