person ;;sequence_id;coin;key_heads;key_tails;key_fail;start;sequence ;
Franziska ;;1;50ct;h;t;f;h;httttthhtfthttthhhthhhhttthfhththhtttthththhhtththhththththhttftthhhtthtththtthththhttththtfhfhhtttttththttthhth;
Franziska ;;2;50ct;h;t;f;h;hthtthtftththhtthtfhhhtththhhhhtttthhhhhhthhhhthhfthhhthfttthhtththhtfhththhthhhthhhhhthttttthhtfttththhftththhfh;
Franziska ;;3;50ct;h;t;f;h;hhhhthhhtthtthhtthhthhhhhthtthtttthttfthhtthhhhhththtfhthttththtfththtttthhttttfttttthtthhhthththhtttftthhthhfft;
Franziska ;;4;50ct;h;t;f;h;hhhtthhthhthhtthhhhththtttttttththhtftththhttthhtthttthhhhtthhhhthtthttttththfhthhthttttthftftthhthhhhtthttftht;
Franziska ;;5;50ct;h;t;f;h;htthttfthhthhtthhthhhhftthhfhfhhthhhhtthhhhttthtththftfthftththhfttthtthtthhthhhhhtttttfthhhhtththtthhhhhtftttth;
Franziska ;;6;50ct;h;t;f;h;thhhhhtthhhtthtttttthttththfffhhhhhhthhthtthfttfftttttfththhttthtttttththhhfttttfhthttttthhfhhtttttfhthtthhhfthhhhfhttth;
Franziska ;;7;50ct;h;t;f;h;ththhhfhfhhhhtthhhhtttthfthhhhhhtttttthhhhftfhhhthtthhhhthhhhhhttfthtthhftthththhhhhhhthhthhhththththhtthttththh;
Franziska ;;8;50ct;h;t;f;h;hhtfthhfttttthhhhtfthhththhthtthhttfhtthhfhtthhhthhhhhtthhtthttthtthhhhhhttttfhtttthhthtththfhttththhfhhhttttttht;
Franziska ;;9;50ct;h;t;f;h;htfhhhttthtththfhtthhhthtttthhtthhhffthhhtfhhhhhhhttthhfhththhhhtththhhhttthhtthhttthttftfttttthttthtthtththtfhhht;
Franziska ;;10;50ct;h;t;f;h;ttthttffhhtthhttttttthhhtthhhtthtthtthhhttthhhthhthhhhhthtthhhtttttththtthhhthhhtttttthhhhthfthhhtttththtthtthhht;
Franziska ;;11;50ct;h;t;f;h;htttttthttttththhhtttfhfhhthhhfhhtthhhhhhhhhtfthhthtthhthttthhththtthhtfhtththththtththtthhhthhtthfhhhttthhhttth;
Franziska ;;12;50ct;h;t;f;h;htfhhththththhhthhththhhhhthhhhhtfttthhttthhhtthftththfthththhhhththttththththtthhtftthhthhtttttthftthfhtthhttftttt;
Franziska ;;13;50ct;h;t;f;h;tthhttththhtttththhhthhthtthtthhhthhhhhthtttthhhhhffhthhthhtfhhththtththhhttthttthhhtfthhtttthhtthhththththhtfth;
Franziska ;;14;50ct;h;t;f;h;hhhthhtttthhtthhthhhthfhhthhththhfhthtthfththtthhtthhhttthhtttthhtthhhhtthhhthhttthhtthtthtttttttfhttttthhhhhhtt;
Franziska ;;15;50ct;h;t;f;h;thhhhhhhhhhhhtthhhthhthtthhthhththhhhtthtththththhtththhtthtttttththhtthhtthtfththththhfhhhttthtfhthtthhfhtthhtth;
Franziska ;;16;50ct;h;t;f;h;thhththhthhhfhhhhthhhhhhthttthtttththhhhthttthttththhhhhtttthhfhtthtthhthhtfthttthttttththttttftthftthhttthhhttht;
Franziska ;;17;50ct;h;t;f;h;htttttthhhttththhttthfthtthhthhthttttththtthhhhttththhhttttththhttthththtfhfhttthtthhhhhhttthhthtththhhffhttthhtttt;
Franziska ;;18;50ct;h;t;f;h;tthttttthhthhttthhfhhhthhttthttthtfththhthhhhfhhhtthhttththhhhthfhhhtfhtthhtththhtfhhhftftthhhhhttttththhhhhhthhht;
Franziska ;;19;50ct;h;t;f;h;hhththhtththththhhhfhthththtththhthththhtfttthhhthtttthttthhhfhhhhthhhhhththhtthtthhthhfhhhhthttththhthhhhthttttt;
Franziska ;;20;50ct;h;t;f;h;tttththhthththhtthtththhthtthhttftththtfhthhhttthtthtthtthhthhtthhthhttthhththhtfhthtththttththhhhthhhtthhfhttht;
Franziska ;;21;20ct;h;t;f;h;tththhththhthhtfhttthhttthhhhhtfhhhhhthftttttthhttththhhtttthhtthhthhhhtfthhtttthhfhthhhthhhhhthhttthththththhht;
Franziska ;;22;20ct;h;t;f;h;ththtfhhthtthhthhhthhhhththhhtthththhhtthttthfththhhtttthththhhttffhhthhhttthhtthtttthhhtththhhhhhhhthththhthtth;
Franziska ;;23;20ct;h;t;f;h;htththhhtthhththhhfhtfhhthtttttthtfhhhthhthhthtftthhhftttththtththhhhtthhtttfhththttfhhhtthhhtttttfhtthhhhthtthtthttt;
Franziska ;;24;20ct;h;t;f;h;thhhttththhthtthhthtttthhtttththtththhttthttthtthhthtttthhthhfththhththtttthhtttthtttfththtttthththhtttfthhtthfhth;
Franziska ;;25;20ct;h;t;f;h;hhhhthttthhhtfhtfthtthttthtttthhhtthhtthttththhthhhttthhhtthffhttththhthttfhththtthhttthhhhhtfthhtffttttttfhtfhtthtttfhhhtht;
Franziska ;;26;20ct;h;t;f;h;hhhthttttttththhhthhhthtttththhhthttfttthtthtththtthhfhtthhttthhththtthtfttttttthhtthttththhhhthtthhhtthfhhhhthhhtttt;
Franziska ;;27;20ct;h;t;f;h;hhtthhhtthhhhththhtththhhthhthhfhhttthhthtfthhhtththhhhhhhhthttttftftthtfthhhfhhtththhthhhhthhhhhhhfthhthttttttfthhhftttth;
Franziska ;;28;20ct;h;t;f;h;hhthhthtttthtthtthhtthththhhttthtthhtthhttttthtthhtthhthfhhtthhthfhtthhhfhhththhhhfhhhthhhtthhthhthhhththhhhhhtfhhh;
Franziska ;;29;20ct;h;t;f;h;htthththhttthhhhthhthhtthhhhhtttthhhhtthtftthhthftthhtfhtthththhththhtthttttthththhtthththttttthhhhtthththftfthttthhtt;
Franziska ;;30;20ct;h;t;f;h;thhhththhthhhthhttttththfththfhthhhhtththhtthtththhhhhthtttthhtftthfthtthhhhhhthththhhtththfthttthhthhhhhthttthtfth;
Franziska ;;31;Rs 2 (Indian 2-rupee coin);h;t;f;h;hhthhtthththhhththhtththhhthtttttththhttttthttfhttthftthtfhthhhttttttttttttfhhhhhtththhtfhttthtthhhtththththhtht;
Franziska ;;32;Rs 2 (Indian 2-rupee coin);h;t;f;h;hhthfhhhthtthhtfthhththttttthhhhhhhhhthhftttthhtthhtttttfhhhtttttththfhhthtthftttfthttthhthhtttfhtthhhtttthttttftf;
Franziska ;;33;Rs 2 (Indian 2-rupee coin);h;t;f;h;thhtttthhhtththttthtftttththfhttthhhhtthhthhfhtththhthhththttfhhhthhtthhhthhtthhhthhtthhfthhttthththhhhttthhhh;
Franziska ;;34;Rs 2 (Indian 2-rupee coin);h;t;f;h;hhthhtthhhhththtttthhhhhhhhfhttththhhththttttfhhhtthhthththtttttfhthhhthhthhhhththhhhhtththhthttftttftthttththtt;
Franziska ;;35;Rs 2 (Indian 2-rupee coin);h;t;f;h;hththhhhhttfththtthhhhhhhttthhfhhtthhthththhhtthhththhhfhththhththtthhfhfthttthttththhttththtthtththhhthtfhfhhh;
Franziska ;;36;Rs 2 (Indian 2-rupee coin);h;t;f;h;tthhthftthtttttththttthtthhthhththtthttfhhtttttthtthtttftthhttttfhtthttthttfthtftthhhhhtttttttttthhftthhfthtthh;
Franziska ;;37;Rs 2 (Indian 2-rupee coin);h;t;f;h;ththtthtthhhfthtttfthtththttthhthfthhtthhtththhhfhhtftthhhttthtthtfhtththtfhtthhtttttttttttthhtftfhhtttthhhthhtft;
Franziska ;;38;Rs 2 (Indian 2-rupee coin);h;t;f;h;ttthththtthtthhttthtthhhthfttththhthtththhhhthfttthfthhththhtfhhhtththtthhhtththhhtfhtthhhhhftthtttttthtthhhht;
Franziska ;;39;Rs 2 (Indian 2-rupee coin);h;t;f;h;tthttttthtthhhtttthhhtthftftfhthhtthhhhtthtthttttfthhthhthhfhtthhhtfhhthhtthtfhthfhthhhthththttfhtthhhhhhthhthftt;
