Date, Coin, Start, Sequence
2022-12-29 16:50:57,0.50EUR,Heads,htxhhhxhtxxthhthtxhhttxxttthhthtttthhhthxhxhthxttttthhtxhthhxhtthhtthhhhhxxhxttthhxhhtttthxxxthxxthtttxhxtthhthtttttththhtxtt
2022-12-29 17:31:38,0.50EUR,Tails,xhxhtxtxxthhthttxhhxthttxhhhhthxthhttxthhtxtttxtttxxttttttthhhtttxttthhttxhttxhttxttxhhtxhhhththtxttthtxhthhtththxhthttxtttt
2022-12-29 17:44:18,0.50EUR,Tails,txthxxxtxhxhhhtttthttxtxhhhhhtttthtttthtthhttxtttthxtxhtttthtttthhxthhttththhhhxthtthhxhththxhtthtttthtttthhththhhtt
2022-12-29 17:56:14,0.50EUR,Heads,thttttthxhtthtthhhhxtxtttxxtttxxhthxhtthhhhhhthttxttxhxtxhxhtxtxtxhtthththhhxhhxhtthtttxhxhhththttthttxtthhhhhxhttthttthhh
2022-12-29 18:07:16,0.50EUR,Heads,hthhhhththhhxhxxhthxhttthxhhhthxtttthtthtthxtttxttttttthtthhhttthhhthhxxththhhhthtxthhthhttxthtthhtththtthhhthth
2022-12-29 18:47:29,0.50EUR,Heads,thhhhthtthtxhhhthhtxxhhhhthtxxtxttttthxtththhhxhhttthttxxhxtthtthxthhhhhtttxttttththhxxhttthhtthhhhhhxthhttxhthtxhhtxtt
2022-12-29 18:56:34,0.50EUR,Tails,ttxththththhhxtxhxhhhhhtthhtthhhtthhttxtthththhhtttttxthtthhtthxttttthtthhtthhxhttthhxhthhthxxhhthhttxxthhttxthhtt
2022-12-29 19:06:57,0.50EUR,Tails,ttttttthtxxtthhhtthtxhttttthttxtthhxhhxxxhhhttthtttxhhxxhhhxhhtthxxttthhxhxtxtttxtthhthtthhhhxttthxhtthhxhtthhxtthxthxhthhxhh
2022-12-29 19:15:00,0.50EUR,Heads,hthttttthhhxhtxtththxxththttxthtthhthhhhhhhhtttttxttthhtxthhhhtthththhxthhhhhxxtthtthhhtthtttxthhhtttxtththttttt
2022-12-29 19:26:11,0.50EUR,Heads,ttxhhhhthththhhxxxhhtthhthtthtxtxhxhhtxtttxhtthtxtttthttxhhhhhhhhhthhhtxxhxhhhhtthhhthxththhhhhttxhtxxhtthtxthhttthxhhtxxt
2022-12-29 19:34:19,0.50EUR,Heads,htthhxttxtththtxthttthhththhhtxttthttthtxxhhhtththhtthhhtxhhtthhhhhtxtttttthttxtthththhtxhhtxhhxhhhhthtxttttxtthth
2022-12-29 19:43:56,0.50EUR,Tails,httttttthhxxtxhxthhhtththhthhhtthxhttthttxhhthxttththththtthhtxhthhxhhxhhtxxxttttttththttthxtttxhhtxhtxthtxhttxthttthtt
2022-12-29 19:56:23,0.50EUR,Heads,tttttthtxhtxhhtxthhhtthhhthhththtxhtthxtthhtthtxtthhthtxhthtttttttttxhxhhhhthtththhhthtxthtttththtthhhhthhhtth
2022-12-30 10:16:12,0.50EUR,Tails,xttthhhhhtthhhhxhhtttthhtthhhhhhhthhhhttxxhhxthxhxtthtttttttxhhhhtttxhhtttthhhhhhhhhhtxxhhhthhhthxhthhthhhhhttth
2022-12-30 10:23:25,0.50EUR,Heads,htthhhthhththhxhthttththhhhththhtthhttththhhhhttxxthxhhttthhthhhttxhhhxtththttthhttthhhthhxhxththttxhttthhttxt
2022-12-30 10:29:44,0.50EUR,Heads,hththhttthhhhhhhhthtttxttthhhthxtttthhttxhhtttttthhhthhthttthhtthhtthththhhthhhhxhhtttthhtthhxttthttttxhht
2022-12-30 10:36:37,0.50EUR,Heads,ttthhhxtxhxthttttthhhtxhhhxhtthhhttttthtttxxthttthtththhththhxthhhhhhttthhttxththhtththththhhhthxththttxxthhtthh
2022-12-30 10:42:54,0.50EUR,Heads,hhtthhtxthtthhtthtthhthhxhhthttxttthhhtthhxtthhthththththttthhthtxthhhthhhhhttthhhhhttthtxtttthhhhtxhhthtth
2022-12-30 10:49:52,0.50EUR,Heads,hhhhttxhhttttttxthtttthxhhhhhthttttthhhhhhhtxtttthththtxhhthtthhthththhhxthhttttxtttthtthhxhhhhhxttxtththhxhxhht
2022-12-30 10:58:03,0.50EUR,Heads,hthhhhtthhhhttthhhthtxtthhhhxtthhthhtttthtthhththhththtthhttxtthxththhhttxtthhhthhtthhttthxhtxhxhhhtthhhxhtht
2022-12-30 11:08:53,0.50EUR,Tails,thxhttxhxxtttttxtttxtttxtthhthththxhthtththtttththtttthhtthhttxhhhxhhththttththhhhhthhtthtxthttththhhhhhhhhhthh
2022-12-30 11:23:14,0.50EUR,Tails,thhththxhththttttthhtththhxtthtxhtthxhhhtxtthhhhhhhtttthhttttthttthhtthxhhhxtthhtttxhthxtthhhhtthxhxhhthtthttht
2022-12-30 11:31:15,0.50EUR,Heads,htxtthhhtthhxttttxxththhhhhtttttttthttthhhthttthhtttthththththhthxththxxtttthtxthhthhtttxtththhhhhhtxthhthtttt
2022-12-30 11:37:44,0.50EUR,Heads,xthttxxttththhhtxhhhhtthtthtthhtthttttxhththhhhhtxhtttthhhthththhthhtthhhxhthththhtthhxhtthhtxtthhthttxhtthttt
2023-01-08 12:23:01,0.50EUR,Tails,httthhttxthxhtxtthhhttthxxtthhththhhttttthhthtthtttthhhhtxhhhhthhththhthhhhhthxhthhxhhthhhxhhtthtxththhhhttthh
2023-01-08 12:29:53,0.50EUR,Heads,httttxtththttthtttxxhhhxhhtthtttthhhhthhhhththttththhthhthhxthhthtxhhttthhttxtxththhhttthhhttttthhttthttthtt
2023-01-08 12:54:13,0.50EUR,Tails,ttxhhthtthththhttthhththttxhhhxhtthhthhhhhttttttthhhthhhhhhhhxhhxthhtththttxththhttthtttththtttthtttttttth
2023-01-08 13:02:00,0.50EUR,Tails,tthttthhttthhhththhxththxhhhthhxhxtttthtthxtxhhhhhhhthhthhtthtttxtxthtxhtttxhttttttthxhhthhththththhhtthtttthhh
2023-01-08 13:09:24,0.50EUR,Heads,xhhtxtttththhhhtthththththhhxhtthtthhttthxtxhhthttthxxhhxthxhthhhhtxhtthhhhhhhttttthtthhthhttxhttthxththhtthttth
2023-01-08 13:17:25,0.50EUR,Heads,hhxhthhthhthtthhhhhththtththhhhxthhhthxhhtththhhhttttxhtthxttxhththttxhhhhthxtthtttttthtthhhhttthtthhthtthth
2023-01-08 13:24:51,0.50EUR,Heads,htttthhtttthtthhhtttthhhhtththttxhthththhthtthtxthhttthhhhhhhthxxhhtththhttththhtthtttthhxhhhxhhtthhxttxhtht
2023-01-08 13:40:56,0.50EUR,Heads,hththhxthhtttttxhttthhththhhtxtthhxttttttxtthhhhhtttxxhtxtthhthhxttxthhhttththhtthttthththxxtthtttthtthtththhhth
2023-01-08 13:47:59,0.50EUR,Tails,hhhxtththttthxtththxhtxhttttthtthttxththxthhthtxhthttxhhhttthxhhhhhhhttthtthhhxxthhhthtththhhthtttttttthhhtttht
2023-01-08 13:55:11,0.50EUR,Heads,tttthhhhtthtxthhttththhtttttthtxthhhththhhhhthtxtxthhhhhhhhtxthttthhthtttthhhtththhhhxtthtxtxhhhhhtxtxhtththtxh
2023-01-08 14:02:06,0.50EUR,Heads,ttthttthtxthhhtxhhhhtttthhthhhhtthhxthtthththxhxttththhthhthtthttthttxhhhhhtxththhhtthhhhhthhhtttthhttttththx
2023-01-08 14:26:47,0.50EUR,Heads,ttthhtthttttthttxhththtttxtttthhhthhhtxtxtthhhxhttthhttthhhhthxhththhhhththxhtthhhhtthhthhhhhhhthhtxthhtthht
2023-01-08 14:33:25,0.50EUR,Heads,thxhhthttththttttthhthtxththhhhxthhhhhhhtththhttththhhtthttthhhttxthhhhthththhhhhthhtthhthhththhthtxhhtht
2023-01-08 14:39:52,0.50EUR,Tails,txhxtthtthhtthtththhhhhthttxhtthxhhhtttthttthhxthhtthhthttxxhhhxthtthhhhtthtthhthhthtthtthtthhxhhtthhtxtthttth
2023-01-08 14:46:08,0.50EUR,Tails,hhtththhthththhhththhthhhtthhhttthttthhtthttthttthxxhthtxhxxhthhthhthhhthtthhhthththttxhhththhhhhhtttththt
2023-01-08 14:52:31,0.50EUR,Heads,tttttttthththhthhththttthtthtthxhhthtttththhtththhthhhthhhhtxhtthhhhthhxttttthtxthhtthxthhthtxxthhtttthhtxtxt
2023-01-08 15:53:18,0.50EUR,Tails,hhhththttthtthxtththhxhhthhhhhthtttthtttthhhthhxtthhttththxttthhthhxtthhthxhhtthtxhhhhtthhhtttttthttxhhtxhhth
2023-01-08 16:00:14,0.50EUR,Tails,thhhhttthhttthhhxthtttttttxththhhhhttthhthxhtthhthhhhthtthxhhthhtthhxtthttttthththhhthhhhhxtththhhthhxhxhhth
2023-01-08 16:06:15,0.50EUR,Tails,thhthtthhhthxhtthtththhthhhtthhthhxhhthhthhhxttthtthhthtxtxhxttthhtttxthhthththxtthhthttthhhthhhhhhxtttthttht
2023-01-08 16:12:09,0.50EUR,Heads,thhtxtxhxhthhhthhtxhtththhhxhttththththtttththhhthththhthhthttthtxxtthhhtthhtthtthththhhhtxhhhtttttthhhhhthh
2023-01-08 16:18:35,0.50EUR,Heads,ttttthhhhhthtthhhhtthththxhhhthhthhhhtthhhhtthhthhhhththtthhttthhhhthxhhhhhhtthhhthhtttthttxhhtththxthhh
2023-01-08 16:25:42,0.50EUR,Heads,thtttthttttttthhhhhxhthhtttthhththttttttxhhhhththxthhhtthttttthhtttthhthhxhhhthxhhhtxhhtxttththttthhhthhthh
2023-01-08 16:33:01,0.50EUR,Heads,htttthhthhttthhththtttthhttttthhtthhhthxxhhhthhhtthhhhtxthxhththhhhtthtthttttththtxhtthhthtthhhthtthhtthh
2023-01-08 16:39:32,0.50EUR,Tails,thttxxtthhthttxhhttttthtthtxhtthhhthhtthhhhttthhtxhxtttthttthhtthtttthtttthththttttxtthhhxthhhtthhtthththxhht
2023-01-08 17:01:49,0.50EUR,Heads,ttthhhhtthhthhhtttththttthhxhhhhhthtththhtthtthhhtxtthttthhhhhxhhhthtthhhtxhttththhhhhthxtthhxxtthhhttthhht
2023-01-08 17:09:08,0.50EUR,Tails,xhhhhhhhttxthhtxthtthhtthtxthtttxttthttthhhtttthhtxhhhhhhhtxhhththtxhhtttxtththttxttxtthtttthxtxhxxxthtththhxthhhtttt
2023-01-24 13:45:38,5SEK,Heads,xhhthhthththhttththxtthxttthtthtttxhttthxthhhhhthhtthtthhhhhthhhhhtthhththhhthhthththhhtthtttththttthhtht
2023-01-24 14:21:48,5SEK,Heads,ttththtththhthhhthxthhthtxhttthtttxtththtthtthtthhhtttttxtthttththhxtthhththtthttthhhtththxthhhtththhhhthh
2023-01-24 14:27:26,5SEK,Tails,xtthhthhtthtthhhthtthhthhtttthtttththhhhhtththhxhhhhtthtththhhhhththtxhhththhhtxhhtxhhhthhhthhxhhtthhtxhhtt
2023-01-24 14:33:20,5SEK,Tails,ththhhthtttthhthxhhhthhhttthtthhthttxhhttttthxhtxhttthxhtxhtthhhxthhhhthxhtthhhxhhtthtttttthhthhthttththhhtxht
2023-01-24 14:39:40,5SEK,Heads,tthttttxhhhthtxxtttthhhxhttttxthhhtthttxtttthtttxhhxhhhhthhhhthttxththttthtththhxtthhhhtxhxhhhtttxthhhhhhhthtthtt
2023-01-24 14:45:09,5SEK,Tails,hhhttttththhhhhhthtxhhthhhhhthtthxthhhtththhhhhhtthhhtththhthxhtttthhhhthhthhhhhhttttthhxtthtthxxtthttxttxth
2023-01-24 14:51:45,5SEK,Heads,hthhthhthhhhxhhhthhhththhhhhthtxhhttthxxthxhhhxthhxhthhhxthtthtttttxhthhhhthtxttthhthtxtxthxttxthxtttthhxhxtxxthttthhtt
2023-01-24 14:57:40,5SEK,Tails,hthhhhxtxhxttxthhthtthtthhtthxhthhthhtththhthththtthhthhthhhtxhhthhhthhhtxttxhhhthhhhhththtthhhththxxxhhthhtttt
2023-01-24 15:03:47,5SEK,Tails,tthhtthhxthttthhhhtttththxththhhtttthttthhhthhhhhhhhhhtthxhtxtththhxtthxthtttxhhththhttxxtththtxhttththtxthhthhh
2023-01-24 15:11:10,5SEK,Tails,hthhxhhtxthhxtxhhtthtththttththththxtthxttttthttthtthhtthhttthtxhthhhhhhhthxhxhhhhxhthttthhhhttthxhtththhttttxhh
2023-01-24 17:19:29,5SEK,Heads,ttthhxhhthtththhhhtxhthtxtthhhhthhhhtthtththhttttxtthhhtthththhhhththxhtthhthhhhhthhttxhhhttxhtththhhthxhxhhh
2023-01-24 17:41:18,5SEK,Heads,thhhhhttthttthhtththtxttthhthhxhhtthhhttxtthhhthhhhthttthtttthttxthththhtxxhththtttthtthhtttthxthxhhhhhhhhhh
2023-01-24 17:47:14,5SEK,Tails,thxhhhththhhhttthtthhtthhtthtthhxhtxthhhxhthhhttxttttxtthtttttthhhhtttthhtxtttththhthhxhxtthhxhhthhthtxhhhthhht
2023-01-24 17:53:13,5SEK,Tails,thhhhttxhxththtxhthtthhhhttttxhthttthttttxhthxhtttthhthtthxtthtthhhthththththxthththhthhhxhxhhtxttththhhhththhh
2023-01-24 17:59:49,5SEK,Heads,ttthhxthtthhthhthxhhtttthhhtxttthththththhhhxtttthtthththtththxxhhtthttthhxxththtththhhthhtthhhhhthxxhhtxhhxthht
2023-01-24 18:05:28,5SEK,Tails,htthxhththtththhhthhhthhhthhhtthhthhtthttthtxhhthhththtththhtxhtththhhhxththtxxtttthhttthxhhhxhxhhhhhxxhtxtthhht
2023-01-24 18:11:37,5SEK,Tails,hthhxhhhtthxhtttthhthhththhhttthttxhhtttthhhtxthttthxtxtththhhttxhhhtttththtttthhhtthhhtttxtttthhhttthtththt
2023-01-24 18:18:03,5SEK,Tails,hhhttxhttthttttxthhxhxhhxhhxtththtthtthhttthtxhhtththhhtxhtthhthhhhhxtttthhttthhhhhttxthhhthtxthhhthtxhhhtxtthtth
2023-01-24 18:26:25,5SEK,Tails,hhtxtththhthhhtxttxxthhhxhhhxttxtxhhtthhththhhthhxthhtxtttxttxthhtthhtthxhhhhhtthtthtxttttththththxhhhthxthhhthtthtt
2023-01-24 18:32:51,5SEK,Heads,tthhthhttthhhtttthhthttthhhttthhthtththhhthhthhhhxtttththxhhhhthxhttthhxtthxhhhthhhhhttxtthththtthhhthhhhh
2023-01-25 17:18:41,5SEK,Heads,ttthtththhhtthhtthhttththhhhhhhhxhhhtttthhhhhhhxhhththttthhhhhtttththhhtthhtxhtttthhttthhxththhhhhttxhhht
2023-01-25 17:24:48,5SEK,Heads,hhthththhhthhtttthxxhhhtthhtthtttththhthxhthhhthththhhttththhhhththtththhttthtttthhhhtxtxtxxthhthhthttxhhttxh
2023-01-25 17:30:37,5SEK,Heads,htththhthttttthhtthxtxthhxhthtxhhthhhxhxthhhtthtthttxththttthtthtthhtththhttxthhhhtthtttttthhthhthtththththt
2023-01-25 17:36:10,5SEK,Heads,tttthttthtttththhtttthxththttthhhhhthhtxtxthhhhhhttxhtttthhthhhhthhhhxthhthhhttthtthhxthhhththhttttxxttxtthth
2023-01-25 17:42:08,5SEK,Tails,txttthhtttxhtxthxthttthtttxtthtthtttxtxthxtthththhthhhtthhhttthhhhthtththxhhthttxttxhhtththtthtthtttthhhthttthh
2023-01-25 17:48:55,5SEK,Heads,txttttxttthhtttxhhththhhthhthhhtttthxhthhhtttxttxhttxthtxthhtxhthtttthhththhhhthhhtxttthhtxhhhhxhtttthxhhttthxthhh
2023-01-25 17:54:52,5SEK,Tails,tthhhhttttththttthhhxxtthxxtthhxhhthtththhthtthhhttttthhthhthttthhxtthtthttxhxthththththhtthhhxtththhthhtttht
2023-01-25 18:02:20,5SEK,Tails,txhthhhhththtxhhhxhhhhhhttthxthhttttthtxthhhhhttxththhttxthhthhhxthxhhtxxhtxthhxthtxthtttxhtththtxthhhhhhhhhtxtthhxtxxtt
2023-01-25 18:09:07,5SEK,Tails,txhthhthhthhxhthhtthhhthxxhtttthtthtttthhxhxhhhttxhthhxhhthtthhthttxhhtthxtxhhhhhhtthhhthhhtxxhxttthttttxhhhhhhttht
2023-01-25 18:16:50,5SEK,Tails,httthtxhtttttthxtthhththhhtthhthhhhthhxtthhhththttthtttxtthtttxtxththtththtthtthhthhtthhhttththhthtthhtxthxh
2023-01-26 16:01:03,5SEK,Tails,hhhthhhtthtthttthhxhhhhhthxthhtttthhttthtthhhtttthxhttththtththhttthtththhxtthtttthhttxhhththhtthhhhhxhhht
2023-01-26 16:06:35,5SEK,Heads,thtxthxthttxtxhhtthtxhtttthtthththhthhhthtxhhhttthhhhhhhthxththhhhhhhthxhthththtthhxhtthtththththhtthhhhttttt
2023-01-26 16:11:39,5SEK,Tails,htthttththhhthtthhtthhhxtxhthhhhhhhthtthhxhtthhttxttthxhhththhthxtthhtthtthhhhhxthtttttthhtththttxthtxhhtthhxh
2023-01-26 16:17:57,5SEK,Heads,hhtthhthththhhxhhtthtttttxhhtxtthttthhhhtthththhttttttxhhthhtthxthhhhhhxxttttxhxhththththhtthtxtttxhttttthhtthh
2023-01-26 16:23:46,5SEK,Heads,ttthttthtxhhhtthtththhxthtxhthhthhttthhxhhhxhthxhthtthththhhhhhxhhhthththtthhhhhtxxhhhhthhhhhhhhhtthtxtxhthttht
2023-01-26 16:29:42,5SEK,Heads,tththththhhtthxthttxhhxhxhhhhhththhtxxhthhtththththtthttxhhxthhhtxttththxhtttxhtttthhhtttxhhtthhtthhhttxhhhththtt
2023-01-26 16:36:00,5SEK,Heads,hhhhhhhththtxhttthtthhxhtttttxthhxttthhhththtxhtthhtthxhhhhtthhxhhhtxtthttthhhxhhththhththtthttthhtthhhhthtth
2023-01-26 16:42:09,5SEK,Tails,htttthtthhthxtththhhhhhhthxhtttthtthtttxtthxththtthttttthhthxhthhhhthtxxhhhhxhhthhtthhhhtthxhhththttthxthhhhth
2023-01-26 16:48:13,5SEK,Heads,thhthhhhttthtxhhhhtthhtttthtththhtththhhthhttthtxxhhhththhhhtththtttxhhhhtththxtththththtxhxhtxthhhhthhthttt
2023-01-26 16:54:10,5SEK,Heads,thhhthxhhxhhhxthhtttttxhthhhtthxthxhhttththtxhhhhhhthhhhttthththhhxhtttttttthhthhhhtttthhtththhththhtthhthth
2023-01-27 16:55:45,5SEK,Heads,httttthhxhxttttthhhthhtttthhtthhthththxtttthhhththtththhhhthttttthhthhxhhhttthhxhhththhhhthhhtttthththhht
2023-01-27 17:01:00,5SEK,Heads,hhthhththhtttxhthththhhhhhttthtthhhttthhtthhhhttxhthttthttttththhtththxhhthtttttthhttthttththhthhtttthh
2023-01-27 17:06:10,5SEK,Tails,thhhhtthhhttththhhhthhttthhttthhhhhtthttxtttthhhhttttthtthtthtthttththhttththhthtththhtttttttttttttth
2023-01-27 17:11:16,5SEK,Tails,htttthththhhhhhthttthhtththhhthhhtthhxhhhtxhhhhthhthththtththhthtthhhhtthhttththhthttthtthtttttxhhtttht
2023-01-27 17:16:10,5SEK,Heads,hhttttxhhtthhtxhthtthhhhhthhhhhthhxttththtthhhthtttththhhthhhtthtththhhhthhhhthhhthththttthtthhthttthhh
2023-01-27 17:21:19,5SEK,Heads,thttxhththhhthtxhhhhhttthhhhththhthxhhhhtththtththhhtthtttttttxthhhhxhhthhhththhttxthhhttthhthttttthhhthth
2023-01-27 17:26:29,5SEK,Heads,hhhhhtthhhththhhtxttthhhthhhhthhthtthtttxthhhhtththxththhtthhthttthttxhhthttthhttxthtxhhhhtthhhhtttxhhthhth
2023-01-27 17:33:38,5SEK,Heads,htttthhtthtththhtthtthhhththhththtthttxhtxtthhhhthththhthhhthhthhhxhtxhhhhhthttttxththhhtxhttthhhhttttthhh
2023-01-27 17:38:41,5SEK,Tails,hthxttththxthhthtttxhhhttthtttthtttttthhhhhxtthttthhhtthxttthtttthtxthtxtthththhhttttththtthhtthhhhthhthttt
2023-01-27 17:43:52,5SEK,Heads,htthttthttththhthhthtththtthhtxthhhhhhhhtthhhthhxhtthtthxhttthhhhhhhththhhtthhhhxthhhhthththttthtttthtxtt
