Date, Coin, Start, Sequence
2022-12-28 16:19:05,5YEN,Tails,tththttthhhxhttthxhttthhhthhhhtxththhthhhtthttthhhhthhhhhhhhthtthhtttthhxthttttthtttthhhhhhhthhtttthhthh
2022-12-29 14:35:21,2BDT,Tails,thhtttththhhhhththhhhhtththhhtthtthhhtthhthtthththhthhttthhhthttttthhtxhtthhhthhtthhhthhttthxhttthhtht
2022-12-29 14:49:16,2BDT,Heads,thhttttthhtthhtthhthhththhhtttthhhthttttttthhtthhhtthtxhhtthttthhhthhtthhttthhtthhhhttththhxhhthtthhth
2022-12-29 15:11:57,2BDT,Tails,hhhhthtttthhthhhhththhthtttttthtttthhhxhthhxthhhhhhxththhthttthhttttthhhhthttthhhtxtththtththttttttththhht
2022-12-29 15:41:27,2BDT,Heads,ttthxhthhtttthhhhhhhhhhtttxhhthhthhttthththtxhtthtthhhhhhtthtttthttttthtthhhhthhhhhthhhhtthhhhhththhtth
2022-12-29 15:56:38,2BDT,Tails,httththhhhhthhtttthxhhthhttththtthtthhxhhhthhthhtttttthhtthtthhhhhhttthhhthhthtthhthxthhhhthttthhhthtth
2022-12-29 16:05:13,2BDT,Tails,tthhhhhhtthhhtthththhthhhtthhttttthhhhhthhthtttttxhhtttttthththtthhthtthtthththhhtthhttthhhttthttthhh
2022-12-29 16:12:50,2BDT,Tails,thththhtthhhthhhhhttttthhhthhththhthtxtthhthtthttthhhhhhhhthhthhthhhhthhttththththtthhhhttttthhhtxtttt
2022-12-29 16:20:59,2BDT,Heads,htthhtthttthxhhttththhhtththhhhtthtttthttthtthththhhhhttttthttthhththtthhtththhtttttthtthhththtthtttth
2022-12-29 16:28:13,2BDT,Heads,tttthhthtthttththtthhtttthtthhthhtttthtthththttthxthtththththtthtthtthhhhthhhthtthxtttththhthtthtthtth
2022-12-29 16:48:46,2BDT,Heads,tttthtthhththhtthtttthhtxtththhtttthhhthhhhhttthxhhhhtththhhtthtthtttthhhhhthhhhhhhthhtthhthxtththhhtht
2022-12-29 16:57:46,2BDT,Tails,hththhhhthhtththhththhththhhhhthhthhhthtthxthhhxhhtthththtthhhthtththhtthhhhhhhthhhthhthhhhhthtthhtttt
2022-12-29 17:41:02,2BDT,Tails,thhththhththtthtththhthhtthtttthhhhhhttttttxtthhhhhhhhhhthttxhttttthtttththhtttthhththhthtthtthhttxhtht
2022-12-29 18:00:56,2BDT,Heads,htttttthhthttthhhhthhxtxhhhhtthhtthhthhhhththhhhthhhhhthtttthhthttxttthhhtthhttttttttthtththtttttthhhtt
2022-12-29 18:09:52,2BDT,Heads,thtththhhthhhthhtthhtthhthxhhhhthhthhtthtthhhttththhthththhtttthttthhhhhhttthhthxhhhhhtthhhhthhhttttth
2022-12-29 18:23:32,2BDT,Tails,hhtttththhhhththtthhththhhhhthhtththttthhhxhhhhththhhttttthhhhhthhhtththxthhtththhthttththhthttthtttth
2022-12-29 18:30:40,2BDT,Tails,thththhhhhhxtttthhthhttthhhhtthttthtttthhhttthtxthhttthtxttttxththhhhthhthhthtththhthtthhhxhhhhtthtthhhtt
2022-12-29 18:37:38,2BDT,Heads,ttttttthhhthtxththhhthttthhttthhhhhhttththhthttthhtxxhhttttttttttthttthhttthhhththhtthhttthhhhhxtthhttth
2022-12-29 18:46:14,2BDT,Tails,hhtththhthhttthtthhttththhhhhhhttththtttthhtttttthhthtthhttttthttttthhhththhhththtthhhhthxxhththttttxhh
2022-12-29 18:52:23,2BDT,Heads,ttttthhhthhhtththhhhtthhhthhhtthhhtthhthhhththhhhthtttthhththththtthththhhtthhhtthtttthhhthhthhtthth
2022-12-29 19:46:47,0.10RON,Heads,ttthhhththhhtthhtttthhthhhhhhhxttthhhhtthhhhthtthhtthhhhhtthhtxhhhthhtthhthhxthtthhttthtthhtttthhhhthhh
2022-12-29 19:54:07,0.10RON,Tails,tthtthhhhhhhhhhttxthhhttttthhhhhtttthhthhhhhtthtttthttthtthtthhhhhtthtxththhttththhthtttttthhttthhthht
2022-12-29 20:02:02,0.10RON,Tails,ththhhhthththhhtxhhthhhhhtthhtththhthtttthhhtttthhthttththhhhhthhhttthtththhhthttxhhththhhtthhthttthht
2022-12-29 20:09:39,0.10RON,Heads,hthttttththhtxtxhththhththhtttttthhtthhtththhtthhhhhttttttthtthhhhththhhhtthttthhhtthhxttttththhtthtthh
2022-12-29 20:17:48,0.10RON,Tails,thhthxhhhthhtththhththhththhttththhttthhhthtthhhhhhthtthhhtxthhhhththhthhhhthhthhhhhhtthtththtthhhtttt
2022-12-29 20:30:14,0.10RON,Tails,thhtththhthtthhthhhhhhhhhhhtttttthhhthhththttthhttttttttxhtxthhhhhhttttthhthxthtthxhhhhhhthhhxtttthtttthh
2022-12-29 20:38:22,0.10RON,Tails,hthtttxtttthhthhthhttthhhtthhhthhhhhttththtthtththhthtththhthhhhthththhttththhtthttthhththhhhhhhhtttt
2022-12-29 20:47:42,0.10RON,Heads,ttttththtthhhttthtxhhthhhhttthtttttthhthhtthththttthththhhttthtththhtthththhttthhhhthtthxhhthhtthhtttt
2022-12-29 20:55:19,0.10RON,Tails,hhthhtthhthhhhhthtttthhhtthththhthtttthhttttththtthhttxttttthttttththhhhhtthtththhttthttthhttthhhhhth
2022-12-29 21:06:11,0.10RON,Tails,ttththhthhhthhthtttththhtttthhthhththtthtththhththtthhtthhttthtttthththtthhhhhhtttttththhthhhhthhttt
2022-12-29 21:47:38,0.10RON,Tails,tththttthtthttthhhtttthtthhthxthhtthhtxxthttxttthhthhhtthxhhhhthhhhhhhhththtthhhhxhththttththtthhhhhhttttt
2022-12-29 22:22:42,0.10RON,Heads,thhthxthhtthhthhthhxhhttthhthththhthhhthththtthxhhtthhhhhhhhthhttthxhhthhtxttthhthtthhhtxthhttthhhhthhthtt
2022-12-29 22:30:25,0.10RON,Heads,httthhhhhthhttttttthhhhttthttthhthtttththhtthhthhthhhthttxththxxhhthhhthhthhtthththttthhhhtththhhhhhhht
2022-12-29 23:07:24,0.10RON,Tails,thhhhhhttthtttttthhttththhtxhthhthhttttttthtththhttthhtthhthtthttththhhthttththtthtthththththhtthhthh
2022-12-29 23:14:28,0.10RON,Heads,htthtththhhhtthhtthttxththxttththtthhtttthhtthxhttthhhttxtttthhhththththtthhtthhthttttthhthhhxtttththhhht
2022-12-29 23:23:52,0.10RON,Heads,hhhthttththhthhthhhthtththtttthtththththththhhxtthttthhttthththhthhhttthttthhthhhtthtthththhhhhhthhtt
2022-12-29 23:31:07,0.10RON,Heads,htththhtttttththhthttttttttthttttthhhhtthhtttthhthhttthhthhthhtththhhtththttthhthhhttttxhttthhhhthhttt
2022-12-29 23:39:08,0.10RON,Heads,ttthhhhthhtthtthtttthttthhttthttthhhhhhthhhhhthhtttthhtxhtthhxhhththhtttttthhthhttttthhhhthttttthhhtht
2022-12-29 23:46:10,0.10RON,Tails,httttthtthxhtttthttttthhtthhthtththhhtthtthhhtthhxhthththttthhthhhhtthththththththtthtthththhthttthhth
2022-12-29 23:53:33,0.10RON,Tails,thtttthhhthtthtthttththttxththxtththhhhhhtthtthhttthhhttttttthhttthhxhhhthtthhthththhhtthhhththhhhhhhtt
2022-12-30 00:08:19,1EUR,Heads,hhhthttththhhhhhthhtthhtthhxtxhhhhttxthhthhhthhhhhhtttthhtthhhthhtthhhhtxthhxhhthhthhhththhhththtthttxthth
2022-12-30 00:14:45,1EUR,Tails,ttthhtthhtthttttthhttthhtthhttttthhhthhxththhhtththhttthhtthhtthhtxttthhhhththtttttththhtttthhhtthhtht
2022-12-30 00:21:05,1EUR,Tails,tthhtththththhxtthhhhhthttththhhtthhhhthtthhtthhhhhhhthhthhthtttttthhhttthhhhxtththththhttxhththtthhhhh
2022-12-30 00:28:55,1EUR,Heads,hhttthhthtthhtthhhhtthhttthththhhtthhthhtthtthhhttthhthtthhtttthtththhhtthhhhhhhhthtththttththhtthtt
2022-12-30 00:35:04,1EUR,Tails,tthhxttttthtthhtthhxhhhhttttthhhttttthttthhhhhhtththhtttttxthhhhhthtttthhxtttthhhhtthtttthhthhhhthhtthth
2022-12-30 01:04:18,1EUR,Heads,tthtthhttthttthttxhthhhttttthhtttththhhthhhhhthhthhhhtthhthhttthhthxhhthhhhththhxhhhhhththhhthhhtthhhht
2022-12-30 01:10:17,1EUR,Heads,thhhthhtthththththhhhthttthxththhttxttthhththtttthhtttthhttththhhththhthtthhthhtththhxhhhttthhhhthhhhht
2022-12-30 01:16:12,1EUR,Tails,hhtthtthhhhthhhtthhtththhhthhhthhthtxhhthhtthhhhhhhththtthththtthhtthtthhhhxhttthhhhhthhhtttthhtthhtht
2022-12-30 01:22:35,1EUR,Tails,ttttthhthtttttthhhhthttttthhhhhthhthtthttthtttxtththhhthhhhththhthxhhhtttthtttthhtthtttthhhthththtthht
2022-12-30 01:28:01,1EUR,Tails,tthhthttttttthhhthhtththtthtthhthhhtththtthhhtthhhthhthhhthhthhtthhhhthttthhththhtthhthhttthhtthhtht
2022-12-30 09:22:38,1EUR,Tails,hxhhhttxhhhtxttttthhhtththtttththtthhtttthttxhthhhhthhthttthhttthhhhthxhtttttthhhhtttxhthhhtthtthttttttttt
2022-12-30 09:37:05,1EUR,Heads,xhhhthhhthhtthttttthththhhhhhtththhtthttthhhhthhthtthtttththttthtththhthttthhhhhthhhxthhxthtxtthhhhhhtth
2022-12-30 09:44:30,1EUR,Heads,hhthtxhhhthhhhthhthhththtthhthhhthhhththhthhhttththhthtxtthhthhttthtthhhhhtthththhhhhthththtththtthttt
2022-12-30 09:57:47,1EUR,Tails,hthhthhtthhtththhthhtttththhhtththhhhthttthtththhtthththhhththththhththttttttthhhthhththhhhhthhhhxtth
2022-12-30 10:04:45,1EUR,Heads,hhhthhhhthhthhhththhhthhhtttthththhthtthththhttthhhthtthhhtthhhttththhhththttttttthhttthhhtttthhttth
2022-12-30 10:17:43,1EUR,Tails,thhthtthhttthtttttxhhtthhhhhhhthtthhtthttthhhhthhthhhtttttttttttthhtthhhttthttthhhhhhththttthhtthhttt
2022-12-30 10:27:17,1EUR,Heads,hthttththxhthhthttttthhhthtthhhhtttthtttththththtthhthhththhhthhhthhhthhthhtttththxhtthtthtttthhthhtth
2022-12-30 10:46:40,1EUR,Tails,thttthhthhtttthtthtttthhhthhthhtthhhhttththhhhttthhhthhththttthhhhthhhhththttthhtthhhthhtthttthtthth
