Date, Coin, Start, Sequence
2022-12-29 14:02:48,1EUR,Tails,thtxttthttthttthttthhhtthttxttxhtthhhthhthtttthhxxhtttthhhxxthhhhhhththhhththththhtxxthxththhxttthhthhhhxttthxthh
2022-12-29 14:19:07,1EUR,Heads,htthhththhxhtthhxtthththhtthxhhthththtttthhthhtthtththhhttxtthtthhhhtthhhhhtttthhxthxhthxhhxxtthtxtxhttththhhtt
2022-12-29 14:39:29,1EUR,Heads,thhxhtththttttthhhhttxthttththhthtththtthtthhththhtththttthtthhhhhhttthhhtthhthxxthhthtttxtthtxtttttthtttxxh
2022-12-29 14:50:42,1EUR,Heads,hhtttttttttthtthhttthhhttxthhthttxhhttthhtthhhththhthtththhhhxhhhxthxhtthtthhtththxxhhtthtththttttxhthhththt
2022-12-29 15:02:07,1EUR,Heads,tthhhhhhhttttthhthtthhhttthhhhtthxxthththhttttttttthhhtttttthhhxhhhhhhththhhhxtthttttthththhxtxhthtxttxxthttxt
2022-12-29 15:11:01,1EUR,Heads,txtthhthhhttxttxxhthhhhhhttxhxthtthhhthtthhhtthhhhtxtththtttxhhhthtthhththtthththhhthhhhhthhhttthtththhhxxthtt
2022-12-29 15:21:23,1EUR,Heads,tthhthhthtthhhthhththxtththhhthhxhhthhtththhxhtthxtththhthththhhthhxththtthtthhhhxthhhtthttxhtthttthttthhht
2022-12-29 15:32:03,1EUR,Tails,xhttthxtthhhhthhthhhhtththhthtttthhtttxxhtxhthhhhtthhxthhtthtxhxhhhhthtttthhhhttttxhxxxtttthxhttxxtxhhhhhxttthxhxthhthh
2022-12-29 15:51:00,1EUR,Tails,tthttxttthhhtthhtttxhthxhhthhthtxhttththhhthhhttthhthxthhhhhxththhhtthtthttthhhhtttttttthttxhhttthtthhttxthh
2022-12-29 17:17:11,1EUR,Tails,hthhhhthhtxxtthttththhhhhtxhhtttttxhhhhhhtttthhthxhtthhhxtththhthxhhthtthxhxhthhthhthhtttxthttththhhhtttxxthhxttt
2022-12-29 17:36:16,1EUR,Heads,ttttttthtxxhhhhhhtthhtttttttthhthhhhhhhhtthhttthttxxtthhththhhxtththtthththtxhthhthhthtxttthtthxhtttttttthth
2022-12-29 17:48:38,1EUR,Heads,hthhhhtthhtthhxtttttttthxhhhttttxhxhtthhxthhhhhthttththtthhthhhthhhhththhttxthtttthtttttttxhththththhtthttt
2022-12-29 17:58:54,1EUR,Tails,ttttttttxthhthxthhthhthhttththhttxhxxhhtxxhhxhthhthhhhxxthhhxthhhtxthhhthhhhtxhhhhhtttttttthhhhhthttttxttthtxhttthh
2022-12-29 18:47:22,1EUR,Heads,ththhhhhhhthtthhhttthhhthxhtthtthtxthxtthxxhthhxhhthhtxxtxththhhhhhttxxththttthhttthhthhtthtttxthtthtthttttthhth
2022-12-29 18:57:15,1EUR,Heads,htththhttttththtthhtxthtttthtxttxhhttthhxhtthhtthxhtthxthxhththhhxhtththxxthhtttthxhtthhhthhxthhhhthttxhhthtththh
2022-12-29 19:05:53,1EUR,Tails,hhhhhhhthhttthhhthhhhhhthhhxhhhhhttththhhhhttthttxtxthhtxttthhhththttthhttthxtttthhhtxththhhtthxxhhhhhhthhhh
2022-12-29 19:14:11,1EUR,Heads,hhthhttthhhtxththhhxhhtththhhxhthhhttttthhththhtththhhtthxhhtxthttthththtthtxtttxhhthhhhttttttthhhttthththt
2022-12-29 19:23:34,1EUR,Tails,httthhhtxxtxttthhttttttttthtthttthhtththhhttthtthxhttthhttthttxxhttthhthhthhtthhhhtxhhthxhhxthhtxtthhhhtthhhht
2022-12-29 19:31:49,1EUR,Tails,thhhthtxtthhtthhhthtxtttthhhtttttththhttthtthhthhxhttththtthththxtthhthttxthttttththhhhhxhhhtthttthhtxththt
2022-12-29 19:57:50,1EUR,Heads,xhhtthtthhthhtttththhhttthhtxhtthhhhttthttttttthttttthxxhhthtttthttthtttthhhhxhtthtttxhtthtttttttthtxhtthhh
2022-12-29 21:22:58,2BDT,Tails,hthtthhtttthxththhhttttthhtthtxthxhttthxhthhhhthhhhhhttxthththhthhxxxxxxxxthtxxhxththhthtthtxhtxhxthhtxhthtxhthhtttththth
2022-12-29 21:47:10,2BDT,Tails,hthhthttttthhhxtthhhthtthxhthhtttxhthhhttthtthtxtthhthhttttttthththhththxthhhtthhthhthttxtttttttthhttxhtthh
2022-12-29 21:55:27,2BDT,Heads,hthtxttthhttthhtthhhhththhthhhhthxhtxttthtxhttththhhthttthtthhtthhttttttthtthtthhttttttthhhhxhtthththhtth
2022-12-29 22:02:47,2BDT,Tails,tttxhhthhhhhhhhtttxtxtthtxhhhhthhhttthhhhhthtxtthhhhttththtthttxhhthtththhthhththhthhhxthtthtttthtthhttthth
2022-12-29 22:17:28,2BDT,Tails,thhtthhhttthhtthhhttttththththhhhhtxtththhhtthhtttthhhththtthtxhhthtthhttthtthhthhttxhhhhhhhthhtthhhthh
2022-12-29 22:26:58,2BDT,Heads,hhththttthttthtthxhhhttthhhthxhhththhthhtxtthhhxhhhhhhhhhhhthttxthhthhhhhhtthhttxhhhththhhxttxhhhxthhthtthhhh
2022-12-29 22:35:58,2BDT,Tails,ththhhhttthhhtttthhhtxtthttthhhhthtttththhhhthhhxhhtththhtttthhhtthhxththxhhhhhtthtthtthttthtthhhhxhthxhhh
2022-12-29 22:45:43,2BDT,Tails,httthhhtttththttxtthhhhhxtxthhtthtthththhhhhhtthhxhhttthxhthtthtttthtththhhthhtthttththxttthhhtttttttthhtt
2022-12-29 22:54:53,2BDT,Heads,hhhthtttxthtttthtthhhthtxttthttthhhhtthtthhhtthhhhhhttthhhthxhhtthhhhthhhtxthththhhththtthhhhhtthtthttht
2022-12-29 23:06:01,2BDT,Tails,hhhhhhtthhxxtxthhthttthhthttthtththhhhtttthhttttthhttthhhttthhhtttthhhthhthhhhthhhhttththhttttthhtttttt
2022-12-29 23:16:22,2BDT,Tails,hhthhhhhhthhthttthtthhthhhtxthhtthtthtththtthhhtxttthxhhhhhthhhhhhthhhttthtththhthhhtthhthtthhhhthtxhhth
2022-12-30 00:01:49,2BDT,Tails,ttthhtthththhhttthtxthththththtthhhthtxtthhtthhttthhhhhhtttthhhthxttttththhxththttthhtttthhhtthtttththtt
2022-12-30 00:10:39,2BDT,Tails,hthththtxthhhthtththtthhhhhthhhtttttthhhthhhhhhhhhhthhxxhhthtthhhttththttthhhthhhhhhthhtthhthttthhtthht
2022-12-30 00:19:10,2BDT,Heads,thtthhhtthtththttthhtxthhtttthhhhhhttthhhhhhtthhhtththhthtttttthhththhhhhhhhthtththttthtthththhtxhhhtt
2022-12-30 00:28:01,2BDT,Heads,thththhthhxtthxhhtttthhttthtttttttththhhhttthtthhhtttthhtttthhthtttxttthhttxtttththxhhthtttxthhxhthtttthhth
2022-12-30 00:35:53,2BDT,Heads,thhhthhtttthhthhtthtththhxhhtxthhxthhhhththhhhhthhhhtthhtthhhthtthttthhhtthhxttxhtthhhtxhtxhhhtttxhthhtxhttth
2022-12-30 07:31:14,2BDT,Heads,hhhhthxttttxttthhhtttthhhhtttthhthhtththhtthhxttttttththtttthhhxhtthhhttttthtthtthhthxhttthtthhthttttttht
2022-12-30 07:41:20,2BDT,Heads,hhhhthhhhthtthhttttxhhhhtthtthtthhttthhtthttthhthhhhthxhhthhxhttthhththxthhhthttttthththtthhhthhhhhttttt
2022-12-30 07:55:52,2BDT,Heads,hthtttthtxhhhhthhhhxthhthttththhxhxhxthhhtthhttthtttttthhhhxhthhtxhhtxxthhhhthxhtthxhxhthhthttthhttthhhhhhhhhtht
2022-12-30 08:02:57,2BDT,Heads,httxtthhthhhttthhthththhtthttxthhthtthththtthhththhthhtthhhhthhhthtthhhhthththhttthtthhhthtthhhtthttht
