Date, Coin, Start, Sequence
2023-01-04 19:14:48,1EUR,Tails,xxhxhttxhxthttxhxhhhtxhhhhttthtthhhxxtthhhhhthtthtxhhhthtxttththtthtthxhhththxthhthhtthhhhhhhxtttxxhthhhhttthxhxtthxthtt
2023-01-04 19:33:08,1EUR,Heads,hxhhththtthhhhhhthhttthhhhthththhhxthtttxttxhxtxhhttxtthhhthhhxththhxhhhtthxxhttthxhthtthhtttxthhhhhthhththhhtttt
2023-01-04 20:06:02,1EUR,Heads,thxhhthxhhthhhhxhthtxththxhtththhhhthxthtxthxthtttththtthhhhtthhthxthhttxhthtxtthtthhtthhthtthhtttthththhtththt
2023-01-04 20:21:33,1EUR,Tails,thxthhtthxtxhhththtxhhthhhthxhhthxthtthttxxtxhhtxxhhhhxtthhhthhtthxxhttthhxtthhhhtthhthhxxhththttttthhhhhhhxhhhhtxxthhhh
2023-01-04 20:40:19,1EUR,Heads,hxhxthhhhttxhhhthttthhxhhthxxthxhtthhthhhxthhxhthhhtthhthhthttthhhtxhhthhttxhhxhtthththththxtxtttthhtxhthhhhtthttxht
2023-01-04 23:03:17,1EUR,Tails,tthhhxxtthhhxxtthththhtxhththhttxxthhhhhhhttttthhxhttxhhtthhhhhtththhtttthtxththtthxtthhxtththtthhthhtththhthhhh
2023-01-04 23:20:35,1EUR,Tails,hhxhthtttttthhthhhtxttttthhtthhhtthhhthhthththtttttthhththtxxthththtthhttthhtthxthhhthhthttthhttttthththh
2023-01-04 23:31:30,1EUR,Tails,htththxtthhtxhxttxhhtxxhththhhthxhththtthtthhhhthhtthhthtthtthhttttthhhxhxthttthhtthhhhtttththhthhhtxhhxhthhhtt
2023-01-04 23:47:08,1EUR,Tails,hhhhttthxthtxhtthxhxtthttxhhhxhttthtthththtthtththhhhhtthhhtxhhtthhxhthttththtttxthttxhtthhtttttttthtxtththtxhhh
2023-01-04 23:56:47,1EUR,Heads,htthhththhtxttthtthtttththhxhtthxhhhhttxththhtttthttthhhttththththtxtxtttxhhtthhthttttthhthhhtttttthtttthth
2023-01-05 11:22:59,1EUR,Tails,thhhhhxhhhthhtxhhhhthhthhhhhhhththttthtththtxtththtxhhthtthhhhhhthxhxthhtttttthhhhhhtthttxxhhthhhthhhhhhttxhh
2023-01-05 11:35:12,1EUR,Heads,thhhhthhthththxhthtthttthhhhhthhhthhhhtthttthhhhhxhxtttttththhhthtttthhtthhhhhtthtttxhhtththhthhththttxhh
