"person","sequence_id","coin","start","sequence","dataset"
"pierreG","1","1CHF","h","thhthtththhhtthhhththhhhhxtthxhttttthhhtxthxxhhtxhthththhttxtttthtthhthhhhthhhttxhhtthhttxhtthxhxxttttththtthhht","Bc Thesis"
"pierreG","2","1CHF","t","hhththhhtthththhxthhthhhhhxhtthhthththhhtthhhxthhhttxhtthhhhhxhtxhhttxxtththhtttttxttthxtthtthhhtxthhhxxhhhthhtth","Bc Thesis"
"pierreG","3","1CHF","h","htxtxttxtthtthtxhxhtthhhhtxhhtxhththhhhthhttthhttxxxttthxtthttxtthxhthtxtxhhtxtthhhtttthhttxtxhtthtxhtxttxttxthhttthhtthht","Bc Thesis"
"pierreG","4","1CHF","t","hxththhtthxththtxhthhxtthttttthtthttththhtxtttthhhhhhtttttththtthtthxhtthhtxxtthhhhhttttththxttthhtxhtthxxhxhthtxxt","Bc Thesis"
"pierreG","5","1CHF","h","hhhhhthttthttthtthhhthxtxttttxhhtthxhhttxthhhtthhhtthhhtthhhhxhhhxxhtthhhttxxhhthxtxththxtxthhtxthhhhththhhhhhhthhh","Bc Thesis"
"pierreG","6","1CHF","t","hxtttthxhhhtxhthththhthhthhthhhhthhttthhhhthxhhthhhhthtthththtthtthhhxtttthhxtxthhhhxxhhhthhhththhxxhxxtththtthhh","Bc Thesis"
"pierreG","7","1CHF","h","hxhtttxtthththththhththtthxtttttthtxxtttxhthhhthhhxhxhhthtthhhhhtthtthtxtxhhhtthhhhthttthhhhhhttthhttthtxthttht","Bc Thesis"
"pierreG","8","1CHF","t","hthtthxhttththhttthhtttttthttxhhtththttxhthttthhththtthththtttxthhtthhttxhxttthhhhhhhhthtthtxhhhhhxtthhttthxh","Bc Thesis"
"pierreG","9","1CHF","h","tthhtxththhhxhhxhhtxhtthhhthhhhhthththhttxhhthhxhthththtttthhthhhtxhthtthtthhhxhhhtthhthththxxthhhhththhttxxthth","Bc Thesis"
"pierreG","10","1CHF","t","tthhhtthhhhtthhthhhhthhthhthhthhhtxxhhhtththxhtthhhxhtthtththhthhttththhhhhhxthhthttthththttthtthtththhxth","Bc Thesis"
"pierreG","11","1CHF","h","htthtthhttxtthhthhthtttthttthhtthxhxtthththhhththttxhthtxhhtthhtthhtxtthtxhththhttthhtthhthxtxthttxxxhthhtxhhhtxhh","Bc Thesis"
"pierreG","12","1CHF","t","hxttthhhththxthxhxxhhthtxhthxhthtthttthhthxhtthhhxxtxxhhhttthxthtthxhtxtxttththttthtthhxtthhhtttthtttthtthhththttthhh","Bc Thesis"
"pierreG","13","1CHF","h","hhhhxthxhxhhththhxtthtthhhthhtthtthhxhhttxhthttttxhtththttttxtthhthhthtttttttxtthhhhhhhttthxthxthhhthhhhthhxhtht","Bc Thesis"
"pierreG","14","1CHF","t","hhhthhthtthhthththhttththhhhhtxhhhhtthhhhhxtttthtthhhtthtttttxttthhxtthtxhxtthhhthtthhtthttttxttthhxhttthhhh","Bc Thesis"
"pierreG","15","1CHF","h","hhhhxhhhttxxhhttttthtttththttthxtthhxthththhxthhxxtthhttxhttxtthththtthxhtttththhthhtthtthxththhhttxthhhthhhhhthh","Bc Thesis"
"pierreG","16","5CZK","t","hhhhhthhthhhhttthhhthhtttthhhthhhtttttxhthhhthhhhtththhthhhhtthxtttxtxtthhhhthhtttxthhthxhhhhhthhhhhhhttht","Bc Thesis"
"pierreG","17","5CZK","h","thhtxhhttxhhhhthhhxtthhtttthtthtxhhhhthhhthhhthththhthtttthtthtxtttththhhhtthttthxtththtttthhthtttxthhhhhht","Bc Thesis"
"pierreG","18","5CZK","t","httthhhhxhhhttttxttthtttthhhxxhhthhxhhtxhhhhtxththxthhttthhhhthtthhttttththtttthhhttthttthhtttttttxtttthhxhhxtt","Bc Thesis"
"pierreG","19","5CZK","h","httxttxhtttthhhxhtthtttttttxhhttthtthhhhtthxttttttxttxhhhhhhthhhxththhttthhhhhththhttthhtthhthxtxtttxhthxhhhhhht","Bc Thesis"
"pierreG","20","5CZK","t","hhthhhttththhthttthxthhtthhhtttthttxtthhxhhhtttttttthhhthxhttthhththtthhtxthtttthtthhthtththttxhthhhtthhht","Bc Thesis"
"pierreG","21","5CZK","h","thtttthttthxtthhthttttthxtttthtxthththhtthhhhttxxthhxhttthtxhthhhhtthhxththhxtttthtttthhtthhhhtthhttttththhth","Bc Thesis"
"pierreG","22","5CZK","t","hththhthttthxtttthhhhtxhhttththttttthhxhxthhhhhhthxthhthhttthttxhhtthtththttttthhththtxhhhthhthththtxhhhhttt","Bc Thesis"
"pierreG","23","5CZK","h","ttthtthhtthththhhtthtxthtthhhhttthtththttxththhxthttxhhhthhthhttxthhthtxhtttthhxhhhthxthhthtttxhthhhhhthhxthht","Bc Thesis"
"pierreG","24","5CZK","t","txhhttthhhhhhhtttthththhthtthhtxhhhhthhhthtthththhtxhtthxttxhthtthxhhtttxtxtthtttttththhthxththhtxhhthhhtxtxxhtht","Bc Thesis"
"pierreG","25","5CZK","h","hxhthhhhttthttthttxtxhhxtthtttttthhhttttthhhhhhthtttttxthhhhthhtththttththhttttxhxhhhtthttttththhththtththt","Bc Thesis"
"pierreG","26","5CZK","t","xhtthhhttttxhtththxhhhhhhhhxthxtthttxxhxththhtthhthxthhxhhthhtthhhtthttthhhxttthhhhhhhtxttthhhtthxhhtthhththhhthh","Bc Thesis"
"pierreG","27","5CZK","h","htthhtthxththtththhhxhhhthhhtththhtthththtthhhhhhhhhthhhtthhhhththxthxxhtthhtttxhtxhhttxttttthhtttxhhtttthhht","Bc Thesis"
"pierreG","28","5CZK","t","hhthhhttthhhhxhhhhttthhhhxhththhxhthxhththhtxthtxtttthhtttthtxthhththxxthhhtththttthhhhththtththhthhxththhthth","Bc Thesis"
"pierreG","29","5CZK","h","hthxtthtthtthhhhhttthtthtxhhtthhthhttttthhthxtththttthtttttthhthtthtttxxhxhhttttthtxxhttttttthxthhhxhhhtthhthxh","Bc Thesis"
"pierreG","30","5CZK","t","hhhththtthththhththhxhhhhhhxhthtthttttttthhttxhthhxthhhhhxhtthtxhtththxththththhtthxththhththhhtthhtthxthhtht","Bc Thesis"
"pierreG","31","1CNY","h","htttthtthtthttthhhhhhhhthtthhxhhhhhhhxxttxtthhthtthhthtthxhhthxtthhhttthhththhttxhthtthhhthtxthhhhttttththxtt","Bc Thesis"
"pierreG","32","1CNY","t","hhthhhtthhxhtthhhtxttxhhtttttthxhhthtththtthxhthtxxttxhthxtthththhthhhtttxhxtttthtthhthtththhtthhhttthttxttthxhth","Bc Thesis"
