"person","sequence_id","coin","start","sequence","dataset"
"FelipeFontanaVieira",1,"0.50EUR","h","tttxhhtthttthhthhttthhtthhhhhxhthhhxthttthtthtthhxtttttthtttththtttthhtthhhhhttththhhtttthhttttthhthtthh","Internet"
"FelipeFontanaVieira",2,"0.50EUR","t","hhhhthhhhhthtthtttxhththhthtttxtxtthttthhhtthttttxththhhthttthxhhhhththhxthhhttthhttthhhthttthhthhthththht","Internet"
"FelipeFontanaVieira",3,"0.50EUR","h","hhthhhhtthxthththtthhtthhhhhthhhthhhhthhhthhthtththhhthththththhttththxhhhhhthhhhthtthhhxthttththtthttt","Internet"
"FelipeFontanaVieira",4,"0.50EUR","h","thhtttthhtththtttttthhhhhhththtttttthththtthtthttthhhhththhthhtthtthththhtxthtttthhhhthtthhhththhtttt","Internet"
"FelipeFontanaVieira",5,"0.50EUR","h","ththhhhtthhtxtxhhhhtthxhttxtthhhtththtthttthtthhhtthhhhhhxtthhhhhhthhhhhhttttxthttthhthhttttthttthhhthhttt","Internet"
"FelipeFontanaVieira",6,"0.50EUR","h","hthtthhhthtthhthhthhthttttttthhhththhhhhtthttthttthhtthttthtthhttthtttttttthtthtththhththhhtthtthhth","Internet"
"FelipeFontanaVieira",7,"0.50EUR","t","ththhththtttxthhttththhthttxtxthhthhhthhhhhhthtxtxhhhthhxhhththhttththtxthhthhhhtthththhtthttthhtttttthhhth","Internet"
"FelipeFontanaVieira",8,"0.50EUR","t","thhtthxtthhhtthhthhhhttthhttttxhhtththhthttthhththttthhhhttttthhththhtttttthhxthhhthtttthtthhththhhthhh","Internet"
"FelipeFontanaVieira",9,"0.50EUR","t","httththhhhhtththtttththtthhhthhhttthththhttthhththxhhxttththhhtthtththhhhhthhhttththttttththhtthxtxhhhxhh","Internet"
"FelipeFontanaVieira",10,"0.50EUR","t","hhhhhhxthhtthhhhtththtthhtthththtttthtxhhtththttthtthttthhthhhththxxththhxthththhtthtxthththththttttththht","Internet"
"FelipeFontanaVieira",11,"1EUR","t","hthhhhhhhthhhttththhhtttthhththhhhthtttththhthhhtttxxttthtthtthhthththhthttxththtttxhhhhthhhtthttthhthtt","Internet"
"FelipeFontanaVieira",12,"1EUR","h","htthhhththhhhhtththhhthhthhthththtthhhtthhhththhhhhxhhttththtthhthhhthhthththhtttthtthhtthtthtthtttht","Internet"
"FelipeFontanaVieira",13,"1EUR","h","hthtthhththttxthhthttttthtttthhtxtxthhthtthhhhhhhtttthhhtthtthxhththhxxthtttththtththhhhthttthxhhththhhhtth","Internet"
"FelipeFontanaVieira",14,"1EUR","t","hthxtthhthhthtttthhhttttthhtththhtthththhthhthhhhhhthtthhththhtthtthhhhtthhhththttththtttthhhhthhhhth","Internet"
"FelipeFontanaVieira",15,"1EUR","t","htttththhhhhxtthttthhthhthttthhhththhhhhhtthtthhtththhhtttthtthtttxhhhtxthtthttthhtthhhhhttttttthhxhttht","Internet"
"FelipeFontanaVieira",16,"1EUR","h","hthhtttthhttttxhtthhhththhhttthhthhttthxtththhtththhththttthtttthhthhttthhthhtthththththhtthhhttthhhxtht","Internet"
"FelipeFontanaVieira",17,"1EUR","h","hhhhttthththhthhthhtththhthhhttthhttthhththtxttttthhhhthtthhhttxtththttthhhthhthhtthhtttttttttthtthtth","Internet"
"FelipeFontanaVieira",18,"1EUR","t","thxhhthxhhhhtthhhhththhthhthttthtttxttththhththtthtxhhhhhhththththhthtthhthtthhttthhththhthxhhtthtxthhthth","Internet"
"FelipeFontanaVieira",19,"1EUR","t","thtttthhhttttthhhtthhhthhhththhhtthttxhthhthhhtthhtththtthttthtxththtthhhtthtthttththttttththhhtthhhht","Internet"
"FelipeFontanaVieira",20,"1EUR","h","ththhtththtthhhtthhhhthhtthhtthththttthhthhhhttththttttththtttthhtthtththtththhthtthxtthththhhthhhttt","Internet"
"FelipeFontanaVieira",21,"0.50EUR","t","thhhthhhhhhthhtthhhthhthhhtththhthththhthhtthtththtttthhttthhtthhthhhthttthhhtttxthhhhxthhhthhhhhhthtt","Internet"
"FelipeFontanaVieira",22,"0.50EUR","h","tttththtthttthhthtthttthxththttthtthhhhhtttthhthhthhthhhttxhtttthttttthhxthhhthttthhtttxtttthtttthhhhtth","Internet"
"FelipeFontanaVieira",23,"0.50EUR","t","hththhthhttthttththhthhhtthhhtthhhththtttthttxthhhttthhhthhthttthhhthththhtthttxhhhhttttxhthhhhtttthhhh","Internet"
"FelipeFontanaVieira",24,"0.50EUR","t","ththhhthhtthththhtthxtthhthtthhtththhhthhhthhttxthtthttthththtxthhxhhtxtthhhxthttthththhhthttthhhtthtthtth","Internet"
"FelipeFontanaVieira",25,"0.50EUR","t","hhthhhhhhhthhthhthhthhththttthttttttthhxtttthhhthtthtthtxxhthttthtxhhtththhthhthhtthtxxhtthtthtthhthhhhtht","Internet"
"FelipeFontanaVieira",26,"0.50EUR","h","ttthhthhthhhthhhthtthhthtxthtxhthhhthhthhtththtthhththhhttththhtttthxhttttthhtththtthhxhthhhhhhtththhhtth","Internet"
"FelipeFontanaVieira",27,"0.50EUR","t","hhhhhhtthhhtthhthxhhththtththhttthhhhhhttttthtttthttthhhtthhhhtththttthhthhhttttttthtttthtttththtthxth","Internet"
"FelipeFontanaVieira",28,"0.50EUR","t","tttthtththttttthhhtthhthhhhxhtxhtttththhhthxthtttttthththtththththhthhhhhtthththxhhhtxhhtthhhthhhhhhtxthh","Internet"
"FelipeFontanaVieira",29,"0.50EUR","t","hhtthhhhttthtthhhtxthxthxtthttthhxhttxhthtthtthhhhtttttthhhtththhtthhtthtthhthhttthttxthhhhhhhtththttththh","Internet"
"FelipeFontanaVieira",30,"0.50EUR","t","hhhthhthhthtxhtthhthhtththhhhttthxtthttthtxhtthththhhhthhthxhhttthhttttthttthhtttthhthhhthxtthhtthxtthhtht","Internet"
"FelipeFontanaVieira",31,"2EUR","h","httttttxhhhtthhthtthhhtxhxthtthhhtthhthhhtththxhttthhxtthhhthtttttttttthhththtththhhhhthtttthtthtttththhhh","Internet"
"FelipeFontanaVieira",32,"2EUR","t","hhhhththtttthhhhhxthtththhhtthtttthttttttthhtthhhhhhthhtthhhtthttthhhtthtxxthhhttttththttthhhtththhhhhh","Internet"
"FelipeFontanaVieira",33,"2EUR","t","hthhhhhthhhtttthtththhtthhhhhthtththhhhtththhhthhhhtththhxthtththhhthhtthhthtthhhhhththhttthxththhttttt","Internet"
"FelipeFontanaVieira",34,"2EUR","h","thhtttthhhxtththhhhhthhthhhxhtthhhhtthtthhhtthhhtththhhhhhhthhthhxhhthtxhtthhhhhhttththhhtththhhtttththh","Internet"
"FelipeFontanaVieira",35,"2EUR","t","ttthhhhxththtthhtttthththhtthhhtthxxhthttxtxthhhtthtthhhtththhtthtthhhxhhhthhhhtxthhhxhhttxhthhhttttxttthhtttt","Internet"
"FelipeFontanaVieira",36,"2EUR","h","hhhththxthhthhhhttthhxhhthttththhttthhttthhtxhththhxtttttthhttththhtxtthtthhhhhttttthhhthhhxtthhhhhhtttttt","Internet"
"FelipeFontanaVieira",37,"2EUR","h","thhhthxhxhtttthtttthttttxhththxtttththtthtttttxtththtttthhhxhhhthhhttthhhhtthhtthtthtthhhthttthhthttthhhhxhxhh","Internet"
"FelipeFontanaVieira",38,"2EUR","t","htthhthhthtththtttthtthttttthhthththhhttthtthhthtxtthththtthttthxhhthhtthhtttttttxhththhthhhtththhxthhht","Internet"
"FelipeFontanaVieira",39,"2EUR","h","hhhhxthtttthttthhhhhhthhthhthhhhhthtthttttxththhhhtthxthhththxtxththhthhhthhhthxhtttttthttthtttthhhhttttht","Internet"
"FelipeFontanaVieira",40,"2EUR","h","hthtthhttthhttttthxhhhhtthttthhttthththhttthxhththththhhthhhtthtthhthtthththththhthhttttthtthththhtthxt","Internet"
"FelipeFontanaVieira",41,"2EUR","h","thhhthhxhtttxthhxttthththhhhthhtthhhhhtthttthhthhhtxtthtthhhhhhhhhhhhhhthhtthhhhhtttthtttttthxhhthtthhxtht","Internet"
"FelipeFontanaVieira",42,"2EUR","h","hththhthtthhhhhtxhttxththhtttttttththththxttthhhthhtttttthhhhtthhhhhthhhththhtththhthththttttthhtthtthh","Internet"
"FelipeFontanaVieira",43,"2EUR","t","xtthtthhhxththhhhhhthhhtthhththhthhtttttthhttththhhtthhthththtthhhhhthtxthhthhhhhthhttththhthhthhhtthth","Internet"
"FelipeFontanaVieira",44,"2EUR","t","hthththhhtththttthttthxthhhhhthhhhhtththxhttttttttthththhhtthttthttthththtthhthhthththhhhththhthththtxh","Internet"
"FelipeFontanaVieira",45,"2EUR","t","hhhttthhtthhhhtththhtttthtttttthhtthhhxtttththtttxhhhhttthththtttxttthttthhhhhhhtthttthtttthhthhhththth","Internet"
"FelipeFontanaVieira",46,"2EUR","t","hhhthhthxhthttthhhtttthhtthxtttthtthhhhthhthththttthhhthtthhhhthtttththhhhtthhhthhtxhtttthhtthththhtttt","Internet"
"FelipeFontanaVieira",47,"2EUR","h","thhhtthhhhhththhthhthtthttttthhthhtttthhhhhthhttthxhthhthththhhhhttttthhtttttthhthhtxhthhttththtthhtth","Internet"
"FelipeFontanaVieira",48,"2EUR","t","ttxhthhhthtthttttthttthhthhthhhhhhthtthhthththtthhhtthtthtththhtxthhhhhttthhthttthhtthhhtththhhxthttthh","Internet"
"FelipeFontanaVieira",49,"2EUR","t","tttthhhhttttxhtththhhthhhttttthtthxtttthhhthhtttthhxhhthhhhttthtththxtthhhttthhhththtthtthhththtthhtttxttx","Internet"
"FelipeFontanaVieira",50,"2EUR","h","hhttttthxhththttthtttthttthttttthhxthxhhthhhxtthhhtthhhhhhxhhtththtttthtttttthhhhthxhhhhthhthhttttthtttxht","Internet"
"FelipeFontanaVieira",51,"1EUR","t","hhxtththtthththhhththhhhthttxtxthttttthttthttxttthhxhthhtthtthhhhtttttttthtthhttttttttthhthhhttthtththhtxh","Internet"
"FelipeFontanaVieira",52,"1EUR","t","ththhhtthttttthhxtxtthhhhththxhttthttxtthhthhhxhthtttttthhhxhhthhhtttththtttthttththhxhhhhhhtthhhtththxxhttht","Internet"
"FelipeFontanaVieira",53,"0.50EUR","t","ththttthhthhtthhttxhhttththxthtthththtxhhthttththhhhxttxthhhthtttttthththhthhttthtthxttxtthhhthxthhxtthxttthhhxttt","Internet"
"FelipeFontanaVieira",54,"0.50EUR","h","tththhhthhtxhhhhhthhthtthtttthhtxhhhtthxhhhthhhtththhhhhhhtthtthhthhhttththththttthhththhtxtthhthhhhxhhth","Internet"
"FelipeFontanaVieira",55,"0.50EUR","t","hthhhtthtthtththhhhhthtxthhttthththhthhthttthhtththtxhtthhhhhthttthhthhtttthththhhhhtxhhhhtttththhhthth","Internet"
"FelipeFontanaVieira",56,"0.50EUR","t","ttttxtttxttthththtttthhthhttthtttththtthxthttththhtththhthttthtttttxhthttthhhhhtththttthhhtthththhhhthht","Internet"
"FelipeFontanaVieira",57,"0.50EUR","h","hhhhthhthhtththttttthththxthhhthhhththhthhththxxhhtthhthtxhhtxhhhtthhhtthhhttthhhhtthttttthtthtthttththhh","Internet"
"FelipeFontanaVieira",58,"0.50EUR","t","hhhhttthtththtttttxthhttthhhthxhhhthtttthxhtttxthhtthttthtxtthhhhtthxtttxhttttthhhtttthhtttththhhhhxhhttthhh","Internet"
"FelipeFontanaVieira",59,"0.50EUR","t","tththhtttthxxthhthhthhhthtttthhtthhhhtthttththtttthtttththtthtthhtthtthtthhttttxhhhttththhhhhhthtthttht","Internet"
