"person","sequence_id","coin","start","sequence","dataset"
"AaronLob",1,"1EUR","t","hhhthhhthtthxththtthtttttthttththtxhxhhtttthttthhtttthhhtttthttthxxhhhhhthhhxhhhhhtthhthththhxhtxttthhhthhht","Marathon-MSc"
"AaronLob",2,"1EUR","h","htthhtthhtxxttthhhthhhthhhhhhhhthttthhthhtxtthttthththhththththhtttthttthttttthtttttttthhhtthhhhhtthttt","Marathon-MSc"
"AaronLob",3,"1EUR","h","hhttthxtthxthhttxhhxtttttthxxthhhhttttththhhhthththhtxhttxtthhhtthhxthtthththtthtthhtttthxtthhttthhhhhtttthhtt","Marathon-MSc"
"AaronLob",4,"1EUR","h","ttthhhttxhththhthhhthhththhhhttxthhthhhthhhhhhtthttththhttthhthhthhhtttttththttthhhhhthhhhtttxhththxhhtt","Marathon-MSc"
"AaronLob",5,"1EUR","t","hhhthtthtthxhthththtttttthttttthhthhhhhttthhhhtthtththhhttthhtthhhtthtththhhtthhxhhhhttthhhtthhhhhhhth","Marathon-MSc"
"AaronLob",6,"1EUR","h","thhthhthtthhhhthhhhhttthtttththtthtthhthtttththhthhthhxhhhthhthtthttththhhttxthhthhttthhhhtttthhttthht","Marathon-MSc"
"AaronLob",7,"1EUR","t","thhthhtxththhxhhhhhhhthhthhhhhhhhhtthtttththhtttththhhthhhhhthhtxthhhthhhhthhhthxttttthhhhhhhhhthhtttxttt","Marathon-MSc"
"AaronLob",8,"1EUR","t","txhhthtxthhhhhtthtthtthhhthxthttththhthtththhththxhthttxhtttxththttxthtthttthhthtththhtthtttthhhtttthhtttth","Marathon-MSc"
"AaronLob",9,"1EUR","h","hhthhttthtthhhthtxhttthhthhtttththhthtthhhhthtxtttthhhxhhtttthtthhhhhtttthtxhtxththtthhtththhhtthhhhttttt","Marathon-MSc"
"AaronLob",10,"2EUR","h","hhthtxthttxhhthhhhththhhhtthhhhtttthhxhhttttttththttthtthhtttthhhhhhttthttthxxhhtthttttthxthttthhththtthth","Marathon-MSc"
"AaronLob",11,"2EUR","h","thhtththhtthttththxhthttththhhhhthttththhhhthhhhththxhhhhhththhtttthhtxttthhtthhhthhhthhhhtthtttttttxhth","Marathon-MSc"
"AaronLob",12,"2EUR","t","hhhthhtttttxthhthxhhhtttttttthttttttthtthhttthhhhthxttxthtttttttthhhtttxhhttttttttthhttthhtxxttttthhhtthhtt","Marathon-MSc"
"AaronLob",13,"2EUR","t","ttxtthttthhthtttttxtthtththhhhhhhhhhhhhhhhtthhhhtthtttxhxhthhhtttthhttthhthtxhhhthtthhtththhhttthtttthhhh","Marathon-MSc"
"AaronLob",14,"2EUR","t","hththttttthththhthhhhhhtthhthhhthhtxthttthhthhtthtxtththxhthtxtttthttthhthttthhhhhhththttthtxhthhttthhhth","Marathon-MSc"
"AaronLob",15,"2EUR","t","txhhtththtthtttttthhhtthhhhhhhttttthhhthhhtthhtthhhhhhththhhhttthhtxttttxhhhhttthhhhhhththhtttxhthhhhhtt","Marathon-MSc"
"AaronLob",16,"2EUR","h","hhthhhhhththhhtthhhhhhtxthtttxtthttthhtthtththhthhthttttthhttthttthtxtthhhthttxhhhhtthhhhtthxttthtthhhthh","Marathon-MSc"
"AaronLob",17,"2EUR","t","tttthhttttthxxhththttthhtthttthhhhhhhhhhhtxtthhthhhtthtthhthhttxhttxthhxhththhtthttthxthhhththxhtttthhhhhthh","Marathon-MSc"
"AaronLob",18,"2EUR","h","hthhthtthhthhxhhthtthhhhhthhthhhtthththhththhtthtththhtthhthhhhhttthththhttthhxtxthhhtttttthhhthhthhhth","Marathon-MSc"
"AaronLob",19,"2EUR","h","hhthhhhtttthhttttththhhtthhtttthttxhttttttttththhtththhttththtthtthhhthhththhthhthttxthhhtthhhhthhthhh","Marathon-MSc"
"AaronLob",20,"0.20EUR","h","tthtttttththhhtthhhtxththtttttthhhthhhtthhthhthhxhhhhtxttthhthhhhtxthththtthhhtxthhtttthhhththxthhhhhxtttht","Marathon-MSc"
"AaronLob",21,"0.20EUR","t","hththhhxththhhhtxhthxxhhtttthhhthxhhttththhhtttttttthtttttthhhttthttttthhththhththtxhththhxthxhtttthhhthhtht","Marathon-MSc"
"AaronLob",22,"0.20EUR","t","thhhhtxtttttttthtthtththhtthhhhhhthhhthhhhtxhhtthhhhthththhxhxhttttthtthttthtthtthhhhthhxtthhhhtthtxttthht","Marathon-MSc"
"AaronLob",23,"0.20EUR","h","tthhhhhhhhhhhthhtththhthtttttthhhhthhthtttthxttthhxhhthhhhxtthhhthhhhhhhhhthttthtttthhhttttttthxthtthhtt","Marathon-MSc"
"AaronLob",24,"0.20EUR","h","ththhtthtttttttththxhtthttxhhtththtxhhhhhhtxthhthtttthhhtthhtthttthtththhthhthhhhtxthttththhhhtththhhxhttt","Marathon-MSc"
"AaronLob",25,"0.20EUR","h","ttthhthhhhhhtthtttthtttththttthhhhhhttththhhhhhhthtthxththhttthhhhthttttthhhhhthtttxhxtxhthhthhhhhthttht","Marathon-MSc"
"AaronLob",26,"0.20EUR","h","thtxhhhhttthttttththhtththtxhtthtttxhhtthtthttththtthhhthththhhthttthhthththtthtthththhhhthhhhhthtttthxt","Marathon-MSc"
"AaronLob",27,"0.20EUR","t","hhtthttthhthtththttthhhhthhtthththhttthhtththththxhhhtttthtthhhhththhthtttthtthxhtttthhthhthhhhthtthhh","Marathon-MSc"
"AaronLob",28,"0.20EUR","t","hhhhhhhthttthttthhhhhhthhhhhttxtxththhtthhtththhthhhttthhthhhtthhthhhhthhhtttthtthhxhhhtththtthththhttt","Marathon-MSc"
"AaronLob",29,"0.20EUR","t","hhhhxtthtttttttththtthhthhtthttttthttththttxhttthhhhhhthhttthhttxhhththhhhtttthhttthhhtththttththhhhhht","Marathon-MSc"
"AaronLob",30,"2EUR","h","thththhhhhhtththhtthhhtttthhttththhhthttthhtthttthtththttthhhhhtxthththhtxhthhxttttththhhtththththttttt","Marathon-MSc"
"AaronLob",31,"2EUR","h","tthhththtththtthttthhthhtththtthttthttththththhhtththtthhhthththhtthttthxhtthtttxhhhttthhxthtthhttthxtxhh","Marathon-MSc"
"AaronLob",32,"2EUR","h","hhthtthtththhhttththhhthxttttxttththtttthhhhthhhtthhhhthtththtttthtxttttththtththhthtttttthhxhhtthhhtthh","Marathon-MSc"
"AaronLob",33,"2EUR","h","ttthththhthhhtththhtthhththxhththtxthttttthhttthththttthxhhthhthtthxhhtthhthhhhhtttxttththhhhhxhthhhttttht","Marathon-MSc"
"AaronLob",34,"2EUR","t","hhttththhhhxhtthttthhtthhhthhhthhhthtthtthxxhtthhthtthttthttththtxhthhhthhhthhhhhhttthhttthhthhhhtthxthtt","Marathon-MSc"
"AaronLob",35,"2EUR","t","hhththhhttthhtttttttthhhhthhhhhtthhhxhhtthtttttttthtttthhxhhthhhtthhthhtttxhhttththhhttthttththhthhttht","Marathon-MSc"
"AaronLob",36,"2EUR","h","ttthhxthhxhhththhhhhhhhthhttthtththhhtththhhhthhhhxtxthhhttthhttththhxttthhhthhthhhtthtthhhhhhthhhhhhhhhh","Marathon-MSc"
"AaronLob",37,"2EUR","t","hhthththttthttthttxhhhthhhhththhthhthttthtthhhhttthxthhhhthtxhhthtthtttxhhthhtthhththttthhhtthttttthhtht","Marathon-MSc"
"AaronLob",38,"2EUR","t","tthhttxtththtthhhtxhhhhhtthtththtthxhhttttthhttththhtxhthhhtthhhthhttthhthhhhththxxthhtthttttththththxtthtt","Marathon-MSc"
"AaronLob",39,"2EUR","t","hhhtthtthhhhhhhthtthttthhhhhhhhhhhhthththhththtthxhthhtttthtththhthhhhhthhhhthhthhhhthttthhhththhhtht","Marathon-MSc"
"AaronLob",40,"2EUR","h","htthhttthththhhhhthhhtthttthhthhxhthhhhhthtthtthhttthhxthtththhthhthttxhhhhhthhhthtxtthhhthhttthtththhhh","Marathon-MSc"
"AaronLob",41,"2EUR","h","hthththtttttttthhxthtxhhthtthhhthtthhtttthtthtthhttthththhhhxthtthhhthhttthtttttthhhhthhhhtthhthhhthhht","Marathon-MSc"
"AaronLob",42,"2EUR","t","xttththtthhtthhhtthtthhttttthtthhtthhhhhhxtthhhhhthtttththhhhhhhhhttthhhthttttththttththhxhtttthhthtxhtt","Marathon-MSc"
"AaronLob",43,"2EUR","h","hhxthttthtthtthtttthtttxtthttttxhththhhttththtththhthttxhhhhttthhhhttthttttttthtthhthhhthththhtthhhhhthh","Marathon-MSc"
"AaronLob",44,"2EUR","t","thtthtthhhtxthhhhtthtthhhtthhhhhthhthhhtthtxhhtttthhthhhhththhttthttttthhttttthhhttthhxtttthxhttthhthtth","Marathon-MSc"
"AaronLob",45,"2EUR","t","xhttttthhhttttthhhhthtthhhthhtxhthhhtttthtthhhhthxtttththtttthtthhhhhthxthtthxthhththttttthttthththhtttth","Marathon-MSc"
"AaronLob",46,"2EUR","t","htxhtxhhhtthxhhxthtthththhtthhtthhhhhtththththhththtttthtxttttthhthxttthhhxttttxhhttttththththhththhtthhxhttt","Marathon-MSc"
"AaronLob",47,"2EUR","t","thtttthhhthhhhttthhhthhthhhtthhthhhhtthhhtthhtthhhhtttttthhtttxhhthhhhtttthtttthhthttthxttttttthhthxhtt","Marathon-MSc"
"AaronLob",48,"2EUR","t","hhthththttxhhhtttttxththhhhhhhhhthtttttttththxhhttthhxhhththhhthttttthhhttthhhhhxthththhtthhhtttthhtthttt","Marathon-MSc"
"AaronLob",49,"2EUR","t","thhhthhhhhhhthtthhhttththhhhhtttththhthtthhhthxhttthhttxhtttxhthhhhtthttththttxtthxhtththtthhtthhxxtthhtthh","Marathon-MSc"
"AaronLob",50,"1DEM","h","hhtthhhhthhhhththhhhhhtthhtttthhhthhhhtthxhhhhhhhthtththththhthhhthhthhtttttttthtthhtxthtttthhthhthhht","Marathon-MSc"
"AaronLob",51,"1DEM","h","thhtthhhhhthhhhthhhhttthththththtthhttttthhththtxhthtthhtttthhhttthxhhttthtthhthttthxhhhxhhhhhtttthhthtt","Marathon-MSc"
"AaronLob",52,"1DEM","h","thhhxhhhhhtthhttthttthtttthttthhhhtthhxhhhhttthhhtxtththhthxthttxhttththttxxhtthtthtthxtththhttxthhhhhhttthth","Marathon-MSc"
"AaronLob",53,"1DEM","t","hhhthtxhthttthththttttxthhtthhhtthtththxththhtthttttthhhtthhtthhhhxhhthhxtththhhxhhhhhhtthhthtthhthhhttttt","Marathon-MSc"
"AaronLob",54,"1DEM","h","hhthhttthhhhhttthtttttxhtxhhhhhtththhtthhhhhttthxhhtthhhthhttttxxtthhhthththhhhhhththhttthhxttthhthttthttt","Marathon-MSc"
