"person","sequence_id","coin","start","sequence","dataset"
"AntonZoubek",1,"0.50EUR","h","htxhhhxhtxxthhthtxhhttxxttthhthtttthhhthxhxhthxttttthhtxhthhxhtthhtthhhhhxxhxttthhxhhtttthxxxthxxthtttxhxtthhthtttttththhtxtt","Marathon-Manheim"
"AntonZoubek",2,"0.50EUR","t","xhxhtxtxxthhthttxhhxthttxhhhhthxthhttxthhtxtttxtttxxttttttthhhtttxttthhttxhttxhttxttxhhtxhhhththtxttthtxhthhtththxhthttxtttt","Marathon-Manheim"
"AntonZoubek",3,"0.50EUR","t","txthxxxtxhxhhhtttthttxtxhhhhhtttthtttthtthhttxtttthxtxhtttthtttthhxthhttththhhhxthtthhxhththxhtthtttthtttthhththhhtt","Marathon-Manheim"
"AntonZoubek",4,"0.50EUR","h","thttttthxhtthtthhhhxtxtttxxtttxxhthxhtthhhhhhthttxttxhxtxhxhtxtxtxhtthththhhxhhxhtthtttxhxhhththttthttxtthhhhhxhttthttthhh","Marathon-Manheim"
"AntonZoubek",5,"0.50EUR","h","hthhhhththhhxhxxhthxhttthxhhhthxtttthtthtthxtttxttttttthtthhhttthhhthhxxththhhhthtxthhthhttxthtthhtththtthhhthth","Marathon-Manheim"
"AntonZoubek",6,"0.50EUR","h","thhhhthtthtxhhhthhtxxhhhhthtxxtxttttthxtththhhxhhttthttxxhxtthtthxthhhhhtttxttttththhxxhttthhtthhhhhhxthhttxhthtxhhtxtt","Marathon-Manheim"
"AntonZoubek",7,"0.50EUR","t","ttxththththhhxtxhxhhhhhtthhtthhhtthhttxtthththhhtttttxthtthhtthxttttthtthhtthhxhttthhxhthhthxxhhthhttxxthhttxthhtt","Marathon-Manheim"
"AntonZoubek",8,"0.50EUR","t","ttttttthtxxtthhhtthtxhttttthttxtthhxhhxxxhhhttthtttxhhxxhhhxhhtthxxttthhxhxtxtttxtthhthtthhhhxttthxhtthhxhtthhxtthxthxhthhxhh","Marathon-Manheim"
"AntonZoubek",9,"0.50EUR","h","hthttttthhhxhtxtththxxththttxthtthhthhhhhhhhtttttxttthhtxthhhhtthththhxthhhhhxxtthtthhhtthtttxthhhtttxtththttttt","Marathon-Manheim"
"AntonZoubek",10,"0.50EUR","h","ttxhhhhthththhhxxxhhtthhthtthtxtxhxhhtxtttxhtthtxtttthttxhhhhhhhhhthhhtxxhxhhhhtthhhthxththhhhhttxhtxxhtthtxthhttthxhhtxxt","Marathon-Manheim"
"AntonZoubek",11,"0.50EUR","h","htthhxttxtththtxthttthhththhhtxttthttthtxxhhhtththhtthhhtxhhtthhhhhtxtttttthttxtthththhtxhhtxhhxhhhhthtxttttxtthth","Marathon-Manheim"
"AntonZoubek",12,"0.50EUR","t","httttttthhxxtxhxthhhtththhthhhtthxhttthttxhhthxttththththtthhtxhthhxhhxhhtxxxttttttththttthxtttxhhtxhtxthtxhttxthttthtt","Marathon-Manheim"
"AntonZoubek",13,"0.50EUR","h","tttttthtxhtxhhtxthhhtthhhthhththtxhtthxtthhtthtxtthhthtxhthtttttttttxhxhhhhthtththhhthtxthtttththtthhhhthhhtth","Marathon-Manheim"
"AntonZoubek",14,"0.50EUR","t","xttthhhhhtthhhhxhhtttthhtthhhhhhhthhhhttxxhhxthxhxtthtttttttxhhhhtttxhhtttthhhhhhhhhhtxxhhhthhhthxhthhthhhhhttth","Marathon-Manheim"
"AntonZoubek",15,"0.50EUR","h","htthhhthhththhxhthttththhhhththhtthhttththhhhhttxxthxhhttthhthhhttxhhhxtththttthhttthhhthhxhxththttxhttthhttxt","Marathon-Manheim"
"AntonZoubek",16,"0.50EUR","h","hththhttthhhhhhhhthtttxttthhhthxtttthhttxhhtttttthhhthhthttthhtthhtthththhhthhhhxhhtttthhtthhxttthttttxhht","Marathon-Manheim"
"AntonZoubek",17,"0.50EUR","h","ttthhhxtxhxthttttthhhtxhhhxhtthhhttttthtttxxthttthtththhththhxthhhhhhttthhttxththhtththththhhhthxththttxxthhtthh","Marathon-Manheim"
"AntonZoubek",18,"0.50EUR","h","hhtthhtxthtthhtthtthhthhxhhthttxttthhhtthhxtthhthththththttthhthtxthhhthhhhhttthhhhhttthtxtttthhhhtxhhthtth","Marathon-Manheim"
"AntonZoubek",19,"0.50EUR","h","hhhhttxhhttttttxthtttthxhhhhhthttttthhhhhhhtxtttthththtxhhthtthhthththhhxthhttttxtttthtthhxhhhhhxttxtththhxhxhht","Marathon-Manheim"
"AntonZoubek",20,"0.50EUR","h","hthhhhtthhhhttthhhthtxtthhhhxtthhthhtttthtthhththhththtthhttxtthxththhhttxtthhhthhtthhttthxhtxhxhhhtthhhxhtht","Marathon-Manheim"
"AntonZoubek",21,"0.50EUR","t","thxhttxhxxtttttxtttxtttxtthhthththxhthtththtttththtttthhtthhttxhhhxhhththttththhhhhthhtthtxthttththhhhhhhhhhthh","Marathon-Manheim"
"AntonZoubek",22,"0.50EUR","t","thhththxhththttttthhtththhxtthtxhtthxhhhtxtthhhhhhhtttthhttttthttthhtthxhhhxtthhtttxhthxtthhhhtthxhxhhthtthttht","Marathon-Manheim"
"AntonZoubek",23,"0.50EUR","h","htxtthhhtthhxttttxxththhhhhtttttttthttthhhthttthhtttthththththhthxththxxtttthtxthhthhtttxtththhhhhhtxthhthtttt","Marathon-Manheim"
"AntonZoubek",24,"0.50EUR","h","xthttxxttththhhtxhhhhtthtthtthhtthttttxhththhhhhtxhtttthhhthththhthhtthhhxhthththhtthhxhtthhtxtthhthttxhtthttt","Marathon-Manheim"
