"person","sequence_id","coin","start","sequence","dataset"
"frantisekB",1,"10CZK","t","xtthhthhthtxxhhhhthhhthttththhttthhhttttttthhhhhhtthtthxhhthhthhtthhhththhhttththhhththttthtthhthtttthth","Marathon-PhD"
"frantisekB",2,"10CZK","t","hthhhtthhhthxhtttthhtthhthttttththhtttthhthhththhxttthtthhthxhhhhtththhhthtxhtttthhttttthtthtthhthhththt","Marathon-PhD"
"frantisekB",3,"10CZK","h","hhtthhhhtthtttthhhthtthtthxhhhthttththhxhhhhhxthhtththththhhttttthhhhhhhtthhhhhxhhhhthhxthththththhthxtthh","Marathon-PhD"
"frantisekB",4,"10CZK","h","thhttththhhhhthhhhtxhtthhtthththhttxtthhthtttthhhthxhhhhthhhhtththhtxhhhhhhthxxttthhhtthhthhthtththhthhttt","Marathon-PhD"
"frantisekB",5,"10CZK","t","hhtttthhhhththtxttthttthhhttttthhhttttttthtthhxhthtxhthxhthhththxxththhhthhthhtththhhthhhtththhtthhhhthxttt","Marathon-PhD"
"frantisekB",6,"10CZK","h","htthhxtthhtxhhtththxhthththhthhhthththththhhthhthhhttththhhthhhthhhhtthhhhtthhhhthhttxttththhttthhthhhhh","Marathon-PhD"
"frantisekB",7,"10CZK","t","ththhhthhhtththhhhthhtttthhhhhhtthhthhttthhtxthhhhhthttthxtttxthhhhthhhttxhhthxththtthhxhhtthhhhttthhthhth","Marathon-PhD"
"frantisekB",8,"10CZK","t","hhthttththhthhthhthhthhtthtttthhhthttthttthtthhtthhhhhthhxthtthhhhhhhthhthtthtththttttththhthhthxthxhtt","Marathon-PhD"
"frantisekB",9,"10CZK","t","thttxhhhthhttttthhhthhhhhhhhxhhhtxhtthtththtthxhtththhhhhhhhhthhhtxhtttthxhtxhtttthtththhhhthxhththhhhttthth","Marathon-PhD"
"frantisekB",10,"10CZK","t","ttthhtttthhhthhhhtththhhtthhtthhxhhhhtthtthhhhthttthttthtthththththxtthhhttthhxttthhthtttxtththhtthttttt","Marathon-PhD"
"frantisekB",11,"0.20GEL","h","hhthhhththxththttthhhttthhtthhtxhtthhhhtxthhtxxttthttttthhhtthththtxhthhhhtxhththtthtttththttttttthhtthhtth","Marathon-PhD"
"frantisekB",12,"0.20GEL","t","htttthhhthhtttthhhtttththttththhtthhttthxttxthhthhthtthhhhhhhhthtttththttthhhhhthtttttxhththtttttttxthht","Marathon-PhD"
"frantisekB",13,"0.20GEL","t","thhthhtththhththhhhxhthhhhhhthttththxhhhhhtthhxthhththhhhhththhhtttxtthhthtttththhtthttttthtthxhhthhthttt","Marathon-PhD"
"frantisekB",14,"0.20GEL","t","ttttthhhthxhtttththttttthhhhthhthhthhhhthhthhthhthhhhthtttthttthhthhthhthhhhthttthhthhhhthhxtxtxthtxththh","Marathon-PhD"
"frantisekB",15,"0.20GEL","h","thhthtthhhthttttthtthhhhhttxttthhtthhtthtthhtxthhtttththhttthtthhthttttthhhhthhtthhhhththhthhttthtthtt","Marathon-PhD"
"frantisekB",16,"0.20GEL","t","hhtthhhttttthhhhhhhtthhtthhhthhhhhttxhtttthxtttththththttthtttthhxhtthttththtthtxtthtththhhthhhhhthttthh","Marathon-PhD"
"frantisekB",17,"0.20GEL","t","htthttthhththxhhthhhtthhhhththhhttthhthhhttxhhthhhtthttttththhhthhttthhhhhhthhthhhthhthhthhththhhthhth","Marathon-PhD"
"frantisekB",18,"0.20GEL","t","thhhhtxttthhhhththhhhthhhhtttthhthhhhhhxhthhtthtttthhththhttthhhhhhtxxhthhhhhhhhttttthhhttthhhhhhhtthxthh","Marathon-PhD"
