"person","sequence_id","coin","start","sequence","dataset"
"frantisekB",1,"20DEM-silver","t","tththhtttthttthhhttttthhhttttttthxhhhttthtthttttttthhthhtthhhhthhhhthhhhhthtthhhththhhtttthhhhhthxttht","Marathon"
"frantisekB",2,"20DEM-silver","h","tthtthhhhttxttttthhtthhtthtthhthhtttththhhhthhhtttttxthtttthttthtthtthhhthttthhtthtthhhtthhthhththttth","Marathon"
"frantisekB",3,"20DEM-silver","t","thhththhtthhhhthtthhtxhxtttttthththhxttttththhhttthththhthhttthtththhthtxhththtthhthhhhhhhttthttthtthhtt","Marathon"
"frantisekB",4,"20DEM-silver","t","thhhhthhhhhhhthhhhhhtthhhhtttththttttththhtttttthhthhhhhthhtthhtttthhhhhhthtttxtttthhththhttthhthhtht","Marathon"
"frantisekB",5,"20DEM-silver","h","tttthtthhhthttttttthtthtthhxhhthhhttthththhthtttttthtththtthhthhhthtthtththhtxhhxthxhxhthttthttthhtthhhhh","Marathon"
"frantisekB",6,"20DEM-silver","h","thhhttthhttthhttthhtthhhthtttthtthtthththhthhhththttthhthhtthhhthhhthttthhthhhhhttttttttthhthtthttth","Marathon"
"frantisekB",7,"20DEM-silver","t","tththtthtthhhthhhhhthtththhhtthtttthththhthhttthhththhhhtthttxtttthththththhhhthhththhhhhhhhhhhttthxht","Marathon"
"frantisekB",8,"20DEM-silver","h","htthtthttthtttttttttthtththhtthhhhthhtttttthtthhtthhthtthttttthxthhtttththtthhhxhhttttttthtthhthtthhht","Marathon"
"frantisekB",9,"20DEM-silver","h","tthtthhtthhhhthhthtthhththhhtttttttththhttthththhttthhxhtththhhhhhhthhhhtxthtttthhhthhthxhtthththhhhhth","Marathon"
"frantisekB",10,"20DEM-silver","h","tthhhhtthtthhtthtththhthhhttttththhhthttthttthtthxtttththhthhhhttxttthhhhththhhhtttththhhhthhhtthhthhh","Marathon"
"frantisekB",11,"1CZK","h","htthhhtxtxhhhhtthhhhthhttttthttthhttxhhthtthttthxxtthhhhhhhhxttthxthttttththttttttxthhhttthhhxhhttthhttththtt","Marathon"
"frantisekB",12,"1CZK","h","hthtthhhtttthttthxhtthhthhhhxthhhthttttththhhttththhhthhthhtthtthhhththttthtthhhhhhhxththhhhttxhhtthttth","Marathon"
"frantisekB",13,"1CZK","t","tthtthhhhtttxttthhtthhtxhttttthhhthhttttthhhtthttththhtthtttthhhhtxthttthththhhtttthtttttthtthttthhthth","Marathon"
"frantisekB",14,"1CZK","h","xtthhththhtthhhthththhhthttthtthhtththhtththhhthtttttttththhhttthhhxtthhhththhhhttththtthhthtthhthhhhh","Marathon"
"frantisekB",15,"1CZK","h","tthxttthhththhxhhtttthhhhtthtxhtthhhthhhhhthxhxthhxtthtttthtttttthhthhttthhthhhhhththhthhhththhhhhthhhttxth","Marathon"
"frantisekB",16,"1CZK","h","thhhththhthttthhthhxhhtthtxhtthhhthhtththhhhthtthhtthhthhhhhtthhhttthxhhhthhhhhtttxthhhttthtthhtthhhhtth","Marathon"
"frantisekB",17,"1CZK","t","tththhtttttthhthhththhhtththhttttttththhxhtttttththhhththhtxhthhtththhhhhhtthhhhththttxhtthtttttthhhhhh","Marathon"
"frantisekB",18,"1CZK","h","thththhhhhtthhhhhthtththtthhtthhthhthhhhtthhhhthttxhthhhttthhxthtthhhhhththhhhtthhhhththhththhtthththt","Marathon"
"frantisekB",19,"1CZK","h","ttthhhthhttthtthttttthhhthttttthhhtttxtttthhththhtthhtthtthtthtththhthhhthttthhhxxhhthththtttthttttxhhth","Marathon"
"frantisekB",20,"1CZK","t","hhhhthxhtttthhtthhhhxhhtthhhtthtxxtttttthhxtthtthhththhhhhtthhhtththxhththththxtththtxhtthhtxhttttthhhtthtttt","Marathon"
"frantisekB",21,"5CZK","t","hthhhtthhtxhttthhhththhtthththttthxhththhhtxththththhhtttthhththhhtththxhhthttxtthtttththhthtttththhtthth","Marathon"
"frantisekB",22,"5CZK","t","thththhhhthhxhtttthththhhxttthtththtttthtxthtttxthhthhhxthhhhtttththttttthhhthxttxhhhtthtxhhttthhhxhhhttthttt","Marathon"
"frantisekB",23,"5CZK","h","tthhththttxhhtthttthhtthttttththhhtxhxhttthhxthtthhthtthttthhtthxthhthtthttttththtxhtthxttththtttthhthththh","Marathon"
"frantisekB",24,"5CZK","h","hhtthttthttthtthhhhhxthttttttxhhtthhtthhtxhtttththtthhhhtthtthxthhhttthtttxthttthtttttthtthhhhththhhthttxt","Marathon"
"frantisekB",25,"5CZK","h","tttthhhhhxhttthtthhhxhtttttthhhhthhhtxthhththtthtthtthhtthtxhtttxhthhhtthttttthtththttthhhxhhtxththxhhtthhth","Marathon"
"frantisekB",26,"5CZK","t","xttttttttthhhhhhhhhttttthhthtthhhthtththththttthtthhxhttthxttthtthhhthhhhthtxttttthhhhhtthtttthttthhthth","Marathon"
"frantisekB",27,"5CZK","h","ttththththhhhtxtttthtxthhhththtttthttthththhhhtxhtthtthtthththhxthtxthxhhhthththththhxhhthtxtththhtthhhthhtxh","Marathon"
"frantisekB",28,"5CZK","h","hhhhthhhttttxtthttthhtttttttthththhhhththhxttthtthhxhhtttthhhthhthtttthhxhtthtxhhthtttthtthttttthhththhth","Marathon"
"frantisekB",29,"5CZK","t","thhthhhthxthhthhhhhxhthttttthtthxttthhhthxhtttthhthhthhththhtxxhtthhtttthhhthhhhtttthttxxhhhhttthhhhthhthhht","Marathon"
"frantisekB",30,"5CZK","h","httththhhhtxttthhthxthttthththtthtttxhhtthhhtthttthhthhtttthhhtthththttxththhhtthtthtththhttthththhhthht","Marathon"
"frantisekB",31,"0.25USD","t","xttthhthttthhtthhhhhthhtttthhhhxhhthtttthhhtttxhhhhthththtthtthhhthhhtttthtttthhhthhhhthtttthhthhhhhttxt","Marathon"
"frantisekB",32,"0.25USD","h","hhhtthhhhxthhtthtttthhhhthxtththxthhxhthttthxhhhhhhthtththhttthttthxthttththtxhhhhthhhthhtthhhhhhtttttthhhh","Marathon"
"frantisekB",33,"0.25USD","h","tthhththhthhhxtththhthhhthttthhthhtxhhtthtthxhhhxhhhtthhhthxthhtththhtthhxxhhtttththttthtttthxthttthtxtttttxht","Marathon"
"frantisekB",34,"0.25USD","t","hhthhthxhttthhthhxthtxhhtthtththtthhhhttxhthhttththhhhhhxthhhhttthhhxhthttthtxttththhhhttththtthtththhxtthth","Marathon"
"frantisekB",35,"0.25USD","t","thhtttxhhhhhhhhhhhhhxthtttthttthhthtthhxthhtxtxttxttthhttthhtththtthtxtxthhthttthhtttxxhhhhxthththhhtthhhhththh","Marathon"
"frantisekB",36,"0.25USD","t","hhhxhttthhhhhhththththtthtthhtthhtttthhthtthhtxtthhtxhhhththhttthtttthttttxhhthhhhththhthxtttthxthhttxtxttth","Marathon"
"frantisekB",37,"0.25USD","t","thtthththhhthhhhtthhththtththththhhhthttthtththxhhttxhhhhttxthxthhthhttxththththhhhttthhttthttththxhtxthhth","Marathon"
"frantisekB",38,"0.25USD","h","hhthtthtthttthtttthtthttttththhtxththhhxhhththhxthhhhthtxtttttthhthhtthhtthtthxthhhhhthhtttxhhtthhthhtthxhxh","Marathon"
"frantisekB",39,"0.25USD","h","thxthtttthththxhtthhthtttthhththhhhththhtththhtthhtththxthththtthhthhhhxttxttttthhhthtxtththhhhxtthhhhhhthh","Marathon"
"frantisekB",40,"0.25USD","h","thhhhhhthhhhtxxtttthtthttxtthxtththttthxthhthxhhhhththtthtttthttttttthxtththhthhthhthhthttththttxthhxtthttthh","Marathon"
"frantisekB",41,"10CZK","h","xthhhhhththtthhhttthhthtthhxhtxhhtthttthhhhththttthhtthttxhththththhhthxtththtthhththhtxthxhttthhtththhhthxt","Marathon"
"frantisekB",42,"10CZK","h","hhthtttththtxttthhhtttxhtthhxtthxhhhtthththttxhhhthhttthhxhthhthththhhtthhthtttththhttttthhxhhthhhthxhtthttt","Marathon"
"frantisekB",43,"10CZK","t","htttxhhttxhxtttththhxhhhhtthtthhhthhhthhttttxthhxhthhhttthhttthhttttthtththtthhhthththhtthhththxhhthtthhhth","Marathon"
"frantisekB",44,"10CZK","t","hthhhhhthhthhhhhhxtxhthhhhhtthtttthththththttthhthtxthttthxhhhththtthttxthtthttthhhthhhthhhhhhthtttxhhhhht","Marathon"
"frantisekB",45,"10CZK","h","ththhhtxhhhttthhhththttttthxhttxtthtthhthttthhxtttthththhhhhhxhthhhhhtthhhtthttthtthtxhttttththtttthhhhhhh","Marathon"
"frantisekB",46,"10CZK","h","hthhttxtththhthhtthhththhthtxhttthtxhhhthhttthxttthhthtttthhhttxhtthththtttthhhthttttxhttttthhhhhtththxtttt","Marathon"
"frantisekB",47,"10CZK","t","tthhhtttxtthtthhxhhhhthhttttxhhhthhhtthxhhhhxhttthhhhttthtthttthhxhtththhttthhhtthhttthhhhhtthhhtxtththhhht","Marathon"
"frantisekB",48,"10CZK","h","hthhhtthhhtththtxhtthhthhhhttttttxttttttxtttthhthhhhhtttxhhthththhtxththxhttthhthhhhxtthhhhhttttthhthtthttt","Marathon"
