"person","sequence_id","coin","start","sequence","dataset"
"alexandraS",1,"2EUR","h","txtxttthtthttththtxhxhxhthhhttxhhtthththhxthtttthhhhththxhhxthtthhhthhthtthttttthhhhhhhthtthttthhhhthhthttttt","top-up"
"alexandraS",2,"2EUR","t","hhthhtthhhhhthhttxhxthtthhthhtttxtttxhththxthttthxhhthtxhhthttththhtththhhtthtxhththhthhhhhhhthhtttthhthhhht","top-up"
"alexandraS",3,"2EUR","h","hththttthhhthttxthxhtthtththhtttttthtthttxhtthhxttthhthtthhththttttthhhhhhthtthxthxththhtththhthtthtththtt","top-up"
"alexandraS",4,"2EUR","t","hxhhtthtttxhhthhhthxxhttthhthhxtthhhthttxhtthhhtthhttxthhhtthhxhthhthhtttttththhhhhthxhxhhxttthtxthhhhhthhhhthtt","top-up"
"alexandraS",5,"2EUR","h","htthhhtthhhhhxthhttthhthhhhtthhhhhhhhthhxhtttxhhhttthtththhtxthhhtttthhthhhhthhhthxthxhhhxhhthxhhthhtthhhhth","top-up"
"alexandraS",6,"2EUR","t","thhthxhtthhhtthtxtxtxxhhthhthxttthtthhtthhttthhhtththtxhttthtttthtxhhttththhtttthhhthhxthhhhtththhthtthxhhtthh","top-up"
"alexandraS",7,"2EUR","h","hhttthhtttxhtththhththhthhhhhtththtththhxhtxhtththhxhhhhthththhhtthhhttxhhhhhthxxhhxtthttxttththtthhthhthttth","top-up"
"alexandraS",8,"2EUR","t","thhththhhtthhhhthhthhtthhhhtthxhhhthhhhhhhtthxhhttthththhtthtttthttththttttthhthxtttttthhhxttthtthhhhttt","top-up"
"alexandraS",9,"2EUR","h","tthtxhthhtthththxthxxththttxtthttthhhhhhhthtthhttthhhxttthhthtthxtttxhxhtthhhhtthhhhhhxthhhtxxtthtttthtttthtttth","top-up"
"alexandraS",10,"2EUR","t","ttththhthtthttththtttxhhhxhhhhththhthhtxththhttxhhhttthhtxhtttththhxthtththhxttthhtttttttxtttxhhttthtthtxttthh","top-up"
"frantisekB",1,"1CAD","t","hthhhhthxthhttttthhtthhththhhhtttttthxthtthhttthhhhhhthhhththhhhtththhhhhttthhthhttththxthhtthtthhhhttt","top-up"
"frantisekB",2,"1CAD","t","tthhhhhthhhhhhhhhhthhhthhthttthhtththhthttthhthtthhhhhhttttttththhttthhtthttthhhhtthhtthhtthththhhhh","top-up"
"frantisekB",3,"1CAD","h","htthhthhhhhttttthtxhththhhthtthttthttthhtttthhtthhtththtthtthttthtttttthhhhttthttthttxhhtthtttththhthh","top-up"
"frantisekB",4,"1CAD","t","hhhhhhhhthtthhthhtthhththhhhthhttththhttthhthhtttthhhtththhxthththtththhhhtththhthtththtthttthhthhxtth","top-up"
"frantisekB",5,"1CAD","t","thhthhhthhhhhhxhhtthtttthhthththxhhhtttthtthhthhxhhthththhhhthtthhxthhtthhtxthtthtttththhttxhthtthhtththtt","top-up"
"frantisekB",6,"1CAD","t","hhtttthhhththhtttxttthhthtthhtxthhtththhhthhhxhtthtxhthtttttthhhhthtthhxhtthhhtthtthhththhhtttthhthtxthttt","top-up"
"frantisekB",7,"1CAD","h","thhthtxhhhthhthththttththhhtthttthhththhhhhhthtthxhhhtttthhhthttthtttthhthhhthhttthxhhttththhhtttttttth","top-up"
"frantisekB",8,"1CAD","t","xthhtttthttxttthhhhhtththhttthhhhhhhthhthhhxhhhhhttthhhthhhxhthttththtthtttxtttthhthththhthththhhthtthtxth","top-up"
"frantisekB",9,"1CAD","h","ttttthhhhthththhhhhhthhttxhtthththhttttththtthhththhtthhththtttthtthhhhthththhhhthtthxtthtthhthhthhtth","top-up"
"frantisekB",10,"1CAD","t","hhhhthhtththttxttthtthhtthhhttttthtttthhhthhhttthtttthththhhtthhhhthhhhhthtttttxhtthtthhtththhtxhtththt","top-up"
"frantisekB",11,"1CAD","h","tttthththtththttthtthhhtthtthtththhthhththhthhhhxttthhhhthhhthtthhtttthtthththtttthhtxthtthxttthtthhthh","top-up"
"frantisekB",12,"1CAD","h","tthtththttthttthhxhthhttthttttthhhhhhthhththhthhhtxhhhxhxthhthhhhthxxttththhhtththttththhhttththhhhhxhhhthh","top-up"
"frantisekB",13,"1CAD","t","httttxhttthhhhhthtthttthhttttttthhtxtthhtthhthththtthththhhhhtthtthhhttttxthttthxttthtthtxhhhhhhtxttthhthh","top-up"
"frantisekB",14,"1CAD","t","thhxhhthhthhthhttttttthhtthtthhtthtttxhhhtthhthhthxththttthtxhthhxttxxtttthhxhththxtthhtttxtthhttthtthtththtth","top-up"
"frantisekB",15,"1CAD","t","thxtththtttttththtxtththhhhthhhtththhhthtthtthtththhhthhttthhhththhhthhtthhxhttxhhhxtthhhthtththhhhhthxttt","top-up"
"frantisekB",16,"1CAD","h","ttthtthtthttththhthhtttthhhththhhtxhtttxthththhttththxhthhhhthhhhhhtttxtthththhhhttthhthhhhtthhtttttttth","top-up"
"frantisekB",17,"1CAD","t","thhtthhttttttttttttththttthhhhthtthtttxthtttthxttthttthtttthhhhhhtthhthtthhxhhthtthtththhthhththhhhthhxt","top-up"
