"person","X","y","m","coin","total","total_category","category","prop"
"AaronLob",47,778,1502,"2EUR",1502,"1000-2000","marathon",0.51797603195739
"AaronLob",49,285,525,"1DEM",525,"500-1000","marathon",0.542857142857143
"AaronLob",257,490,951,"1EUR",951,"500-1000","marathon",0.515247108307045
"AaronLob",48,265,511,"0.20EUR",511,"500-1000","marathon",0.518590998043053
"AaronLob",46,483,949,"1EUR",949,"500-1000","marathon",0.50895679662803
"AaronLob",261,131,252,"0.50EUR",252,"100-500","marathon",0.51984126984127
"AaronLob",50,126,248,"0.50EUR",248,"100-500","marathon",0.508064516129032
"AaronLob",259,247,489,"0.20EUR",489,"100-500","marathon",0.505112474437628
"AaronLob",260,239,475,"1DEM",475,"100-500","marathon",0.503157894736842
"AaronLob",258,771,1498,"2EUR",1498,"1000-2000","marathon",0.514686248331108
"AdrianKarami",53,148,273,"1GBP",273,"100-500","marathon",0.542124542124542
"AdrianKarami",262,509,961,"0.20EUR",961,"500-1000","marathon",0.529656607700312
"AdrianKarami",264,102,227,"1GBP",227,"100-500","marathon",0.449339207048458
"AdrianKarami",52,241,491,"2EUR",491,"100-500","marathon",0.490835030549898
"AdrianKarami",263,258,509,"2EUR",509,"500-1000","marathon",0.506876227897839
"AdrianKarami",51,491,939,"0.20EUR",939,"500-1000","marathon",0.522896698615548
"AndreeaZetea",64,229,491,"0.50RON",491,"100-500","marathon",0.466395112016293
"AndreeaZetea",275,252,509,"0.50RON",509,"500-1000","marathon",0.495088408644401
"AndreeaZetea",272,221,439,"0.25USD",439,"100-500","marathon",0.503416856492027
"AndreeaZetea",63,381,784,"2EUR",784,"500-1000","marathon",0.485969387755102
"AndreeaZetea",274,387,793,"2EUR",793,"500-1000","marathon",0.488020176544767
"AndreeaZetea",62,276,532,"0.05EUR",532,"500-1000","marathon",0.518796992481203
"AndreeaZetea",273,215,468,"0.05EUR",468,"100-500","marathon",0.459401709401709
"AndreeaZetea",61,243,461,"0.25USD",461,"100-500","marathon",0.527114967462039
"AntonZoubek",183,1269,2481,"0.50EUR",2481,"2000-5000","marathon",0.51148730350665
"AntonZoubek",394,1317,2522,"0.50EUR",2522,"2000-5000","marathon",0.522204599524187
"AntonZoubek",395,1165,2423,"5SEK",2423,"2000-5000","marathon",0.480808914568716
"AntonZoubek",184,1318,2578,"5SEK",2578,"2000-5000","marathon",0.511249030256012
"ArneJohn",68,238,504,"0.50EUR",504,"500-1000","marathon",0.472222222222222
"ArneJohn",67,265,513,"1EUR",513,"500-1000","marathon",0.516569200779727
"ArneJohn",278,240,487,"1EUR",487,"100-500","marathon",0.492813141683778
"ArneJohn",276,223,440,"5SEK",440,"100-500","marathon",0.506818181818182
"ArneJohn",66,248,499,"2EUR",499,"100-500","marathon",0.496993987975952
"ArneJohn",277,251,501,"2EUR",501,"500-1000","marathon",0.500998003992016
"ArneJohn",65,244,460,"5SEK",460,"100-500","marathon",0.530434782608696
"ArneJohn",279,228,496,"0.50EUR",496,"100-500","marathon",0.459677419354839
"BohanFu",70,278,516,"0.20EUR",516,"500-1000","marathon",0.538759689922481
"BohanFu",282,63,143,"0.02EUR",143,"100-500","marathon",0.440559440559441
"BohanFu",280,231,455,"0.50EUR",455,"100-500","marathon",0.507692307692308
"BohanFu",69,224,445,"0.50EUR",445,"100-500","marathon",0.503370786516854
"BohanFu",71,78,157,"0.02EUR",157,"100-500","marathon",0.496815286624204
"BohanFu",281,244,484,"0.20EUR",484,"100-500","marathon",0.504132231404959
"ChrisGabrielIslam",396,463,979,"5JPY",979,"500-1000","marathon",0.472931562819203
"ChrisGabrielIslam",397,500,991,"2BDT",991,"500-1000","marathon",0.504540867810293
"ChrisGabrielIslam",398,504,998,"0.10RON",998,"500-1000","marathon",0.50501002004008
